event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.85,3.63,4.22,1250,2800,3250,2300,0,13600,1685000,1,0,2,
336,F,1.80,3.37,4.17,9700,2750,2700,0,6500,11150,1680000,0,2,1,
335,L,1.84,3.58,4.17,2150,3100,3700,3950,11000,0,1675000,2,1,0,
334,X,1.85,3.38,4.03,2450,3300,3750,4500,0,15100,1670000,1,0,27,
333,F,1.80,3.72,4.10,4150,3450,4850,0,9300,9800,1665000,0,2,26,
332,F,1.89,3.35,4.02,6100,4500,5900,0,10550,13700,1660000,0,1,25,
331,X,1.83,3.46,4.16,9300,2700,2750,17000,0,11350,1655000,1,0,24,
330,F,1.81,3.58,4.41,9100,2350,2100,0,5950,9200,1650000,0,2,23,
329,F,1.87,3.54,4.24,2000,3100,3600,0,7850,5200,1645000,0,1,22,
328,X,1.88,3.49,4.05,2250,3150,3800,4200,0,15250,1640000,2,0,21,
327,X,1.87,3.54,4.08,2150,3100,3750,4000,0,15250,1635000,1,0,20,
326,F,1.82,3.39,4.52,4150,4000,4400,0,9500,9850,1630000,0,2,19,
325,F,1.85,3.46,4.37,5900,4450,5550,0,10850,14100,1625000,0,1,18,
324,X,1.86,3.35,4.21,9250,2950,2900,17200,0,12200,1620000,2,0,17,
323,X,1.86,3.55,4.05,1400,2850,3350,2600,0,13550,1615000,1,0,16,
322,F,1.83,3.72,4.18,8950,2400,2650,0,6450,11000,1610000,0,2,15,
321,F,1.87,3.31,4.30,2850,3600,3850,0,8300,6500,1605000,0,1,14,
320,X,1.85,3.63,4.02,2550,3100,4050,4700,0,16250,1600000,1,0,13,
319,F,1.81,3.74,4.16,4400,3550,5000,0,9650,10700,1595000,0,2,12,
318,F,1.87,3.62,4.16,5850,4150,5900,0,10850,14500,1590000,0,1,11,
317,X,1.95,3.34,4.04,4500,4100,5150,8750,0,20700,1585000,1,0,10,
316,F,1.83,3.38,4.69,5800,4650,5150,0,11000,14100,1580000,0,2,9,
315,F,1.84,3.48,4.44,7400,4900,6300,0,12100,17850,1575000,0,1,8,
314,X,1.80,3.89,4.17,5500,3700,5700,9900,0,23750,1570000,2,0,7,
313,X,1.82,3.54,4.32,9350,2650,2700,17000,0,11650,1565000,1,0,6,
312,F,1.80,3.41,4.49,3000,3600,3800,0,8600,7050,1560000,0,3,5,
311,F,1.80,3.64,4.04,5350,3800,5450,0,9950,11900,1555000,0,2,4,
310,F,1.88,3.48,4.16,6400,4500,6100,0,11100,15300,1550000,0,1,3,
309,X,1.86,3.35,4.47,9400,3050,2900,17450,0,12850,1545000,1,0,2,
308,F,1.89,3.37,4.18,3550,3750,4400,0,8850,8250,1540000,0,3,1,
307,L,1.84,3.54,4.20,4850,3900,5150,8900,13800,0,1535000,1,2,0,
306,F,1.83,3.54,4.41,6250,4450,5700,0,11200,15100,1530000,0,1,6,
305,X,1.81,3.41,4.76,4850,4300,4600,8750,0,21850,1525000,2,0,5,
304,X,1.86,3.53,4.19,8850,2600,2650,16450,0,11050,1520000,1,0,4,
303,F,1.80,3.37,4.39,2950,3550,3800,0,8350,6550,1515000,0,2,3,
302,F,1.80,3.56,4.28,4850,3850,5000,0,9850,11250,1510000,0,1,2,
301,X,1.81,3.30,4.69,3900,4050,4100,7050,0,19050,1505000,4,0,1,
300,L,1.87,3.32,4.53,5100,4450,4950,9500,14750,0,1500000,3,2,0,
299,L,1.87,3.46,4.08,6500,4500,6150,12150,15500,0,1495000,2,1,0,
298,X,1.85,3.58,4.01,9150,2750,3250,16900,0,12950,1490000,1,0,2,
297,F,1.90,3.33,4.15,3550,3800,4350,0,8750,8000,1485000,0,5,1,
296,L,1.85,3.63,4.22,8250,2000,1650,15250,7150,0,1480000,1,4,0,
295,F,1.80,3.45,4.44,1250,3000,3000,0,7250,3150,1475000,0,3,4,
294,F,1.88,3.47,4.17,8700,2650,2650,0,6450,10950,1470000,0,2,3,
293,F,1.80,3.74,4.02,2700,3000,4150,0,8200,6550,1465000,0,1,2,
292,X,1.83,3.42,4.44,2500,3400,3650,4550,0,16050,1460000,2,0,1,
291,L,1.89,3.65,4.02,4050,3550,5050,7650,12950,0,1455000,1,3,0,
290,F,1.84,3.51,4.04,6200,4250,5950,0,10600,13950,1450000,0,2,4,
289,F,1.90,3.31,4.02,7600,5050,6750,0,11600,17000,1445000,0,1,3,
288,X,1.84,3.39,4.26,5300,4250,5200,9750,0,22100,1440000,4,0,2,
287,X,1.82,3.34,4.87,9400,2700,2050,17100,0,9900,1435000,3,0,1,
286,L,1.91,3.54,4.04,1850,3000,3650,3500,10600,0,1430000,2,1,0,
285,X,1.90,3.34,4.39,1950,3350,3400,3700,0,14850,1425000,1,0,6,
284,F,1.92,3.34,4.36,8700,3000,2850,0,6950,12300,1420000,0,2,5,
283,F,1.80,3.37,4.90,2950,3750,3600,0,8850,7550,1415000,0,1,4,
282,X,1.90,3.37,4.17,8100,2250,1800,15350,0,7450,1410000,1,0,3,
281,F,1.81,3.31,4.84,1300,3250,2800,0,7450,3500,1405000,0,9,2,
280,F,1.82,3.44,4.74,3450,3800,4000,0,9250,8900,1400000,0,8,1,
279,L,1.83,3.80,4.09,8700,2200,2450,15900,8250,0,1395000,1,7,0,
278,F,1.91,3.42,4.24,2200,3300,3700,0,7950,5550,1390000,0,6,3,
277,F,1.88,3.42,4.20,9050,2950,3050,0,7050,12750,1385000,0,5,2,
276,F,1.81,3.79,4.10,9050,2300,2550,0,6300,10450,1380000,0,4,1,
275,L,1.82,3.56,4.46,1800,3100,3350,3250,10950,0,1375000,1,3,0,
274,F,1.87,3.64,4.05,8800,2650,3100,0,6900,12500,1370000,0,2,1,
273,L,1.89,3.46,4.05,2600,3300,4000,4900,11400,0,1365000,2,1,0,
272,X,1.89,3.35,4.05,2500,3350,3850,4700,0,15500,1360000,1,0,2,
271,F,1.85,3.59,4.08,9100,2700,3100,0,6950,12550,1355000,0,4,1,
270,L,1.83,3.66,4.09,2750,3150,4100,5000,11400,0,1350000,1,3,0,
269,F,1.83,3.32,4.69,4550,4300,4450,0,9950,10850,1345000,0,2,1,
268,L,1.87,3.33,4.56,5750,4700,5300,10750,15600,0,1340000,3,1,0,
267,X,1.84,3.65,4.28,4500,3750,5000,8250,0,21350,1335000,2,0,1,
266,L,1.87,3.50,4.24,8950,2750,2850,16700,9550,0,1330000,1,8,0,
265,F,1.87,3.34,4.18,8800,2650,2400,0,6100,9900,1325000,0,7,1,
264,L,1.92,3.50,4.09,1650,3000,3500,3150,10450,0,1320000,1,6,0,
263,F,1.89,3.44,4.09,8750,2750,2850,0,6600,11550,1315000,0,5,3,
262,F,1.83,3.59,4.00,3050,3250,4250,0,8350,6950,1310000,0,4,2,
261,F,1.93,3.33,4.06,4800,4200,5250,0,9750,11300,1305000,0,3,1,
260,L,1.85,3.51,4.24,5850,4300,5650,10800,15000,0,1300000,4,2,0,
259,L,1.81,3.41,4.90,6700,4950,5450,12100,16850,0,1295000,3,1,0,
258,X,1.81,3.54,4.40,5500,4200,5250,9950,0,23050,1290000,2,0,5,
257,X,1.92,3.41,4.13,8550,2850,2900,16400,0,11950,1285000,1,0,4,
256,F,1.83,3.70,4.14,8750,2250,2400,0,6050,9800,1280000,0,4,3,
255,F,1.80,3.36,4.45,2400,3400,3500,0,8000,5450,1275000,0,3,2,
254,F,1.84,3.41,4.15,4650,3950,4950,0,9500,10450,1270000,0,2,1,
253,L,1.95,3.37,4.03,5350,4350,5700,10400,14600,0,1265000,3,1,0,
252,X,1.86,3.44,4.33,4100,3900,4600,7600,0,19850,1260000,2,0,1,
251,L,1.85,3.43,4.25,8800,2450,2250,16250,8400,0,1255000,1,3,0,
250,F,1.82,3.45,4.40,2150,3250,3500,0,7900,5250,1250000,0,2,3,
249,F,1.87,3.40,4.26,4350,4000,4750,0,9500,10150,1245000,0,1,2,
248,X,1.83,3.61,4.19,3500,3450,4450,6400,0,18500,1240000,3,0,1,
247,L,1.82,3.55,4.27,4950,3950,5100,9000,13950,0,1235000,2,4,0,
246,L,1.83,3.57,4.43,6050,4350,5650,11050,15500,0,1230000,1,3,0,
245,F,1.86,3.49,4.36,7450,4900,6500,0,12200,18200,1225000,0,2,6,
244,F,1.81,3.50,4.20,9400,5200,7400,0,12950,20950,1220000,0,1,5,
243,X,1.88,3.38,4.14,6350,4600,5950,11900,0,24600,1215000,2,0,4,
242,X,1.80,3.40,4.00,5100,3950,5100,9150,0,20350,1210000,1,0,3,
241,F,1.82,3.31,4.35,6350,4700,5500,0,10800,13900,1205000,0,1,2,
240,X,1.87,3.56,4.16,4450,3800,5050,8300,0,20900,1200000,2,0,1,
239,L,1.85,3.37,4.51,9000,2650,2250,16650,8900,0,1195000,1,4,0,
238,F,1.80,3.82,4.15,8850,2050,2050,0,5650,8450,1190000,0,3,4,
237,F,1.89,3.32,4.25,1950,3300,3400,0,7600,4450,1185000,0,2,3,
236,F,1.83,3.33,4.57,4000,4050,4250,0,9350,9300,1180000,0,1,2,
235,X,1.80,3.35,4.39,3600,3750,4100,6450,0,17950,1175000,4,0,1,
234,L,1.85,3.39,4.23,4800,4100,4950,8850,13800,0,1170000,3,1,0,
233,X,1.81,3.84,4.20,8850,2150,2300,16000,0,9600,1165000,2,0,1,
232,L,1.84,3.53,4.39,1500,3000,3250,2750,10550,0,1160000,1,8,0,
231,F,1.83,3.76,4.11,3700,3350,4700,0,9150,9300,1155000,0,7,1,
