event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.82,3.35,4.79,9650,2900,2400,17550,0,11400,1685000,1,0,2,
336,F,1.89,3.45,4.21,2950,3500,4100,0,8500,7250,1680000,0,2,1,
335,L,1.80,3.47,4.15,4650,3850,4850,8350,13300,0,1675000,2,1,0,
334,X,1.81,3.34,4.08,9150,2400,2000,16550,0,8150,1670000,1,0,27,
333,F,1.82,3.50,4.61,1350,3050,3050,0,7600,4050,1665000,0,2,26,
332,F,1.80,3.35,4.38,4250,3950,4450,0,9250,9350,1660000,0,1,25,
331,X,1.85,3.37,4.54,3300,3800,4000,6100,0,18050,1655000,1,0,24,
330,F,1.87,3.68,4.01,5250,3850,5700,0,10200,12750,1650000,0,2,23,
329,F,1.89,3.31,4.36,6650,4950,5950,0,11400,15850,1645000,0,1,22,
328,X,1.81,3.34,4.08,5500,4200,5250,9950,0,21350,1640000,2,0,21,
327,X,1.82,3.72,4.18,3700,3400,4600,6700,0,19200,1635000,1,0,20,
326,F,1.82,3.31,4.27,6100,4550,5450,0,10500,13250,1630000,0,2,19,
325,F,1.90,3.53,4.02,6950,4550,6700,0,11500,16800,1625000,0,1,18,
324,X,1.83,3.39,4.17,5400,4200,5250,9850,0,21750,1620000,2,0,17,
323,X,1.84,3.31,4.16,9150,2650,2350,16800,0,9650,1615000,1,0,16,
322,F,1.80,3.77,4.18,2000,2900,3700,0,7900,5450,1610000,0,2,15,
321,F,1.81,3.49,4.06,9650,2800,3150,0,6950,12700,1605000,0,1,14,
320,X,1.81,3.58,4.21,1500,2900,3300,2700,0,13800,1600000,1,0,13,
319,F,1.82,3.70,4.30,3450,3400,4400,0,9050,8850,1595000,0,2,12,
318,F,1.83,3.32,4.87,5200,4600,4700,0,10650,12850,1590000,0,1,11,
317,X,1.81,3.32,4.61,4600,4250,4450,8300,0,20500,1585000,1,0,10,
316,F,1.81,3.79,4.23,6000,3950,5900,0,11000,14850,1580000,0,2,9,
315,F,1.87,3.37,4.35,7550,5100,6450,0,12050,17900,1575000,0,1,8,
