event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.91,3.33,4.23,8200,2450,2000,15650,0,8400,1685000,1,0,2,
336,F,1.87,3.47,4.38,1650,3100,3300,0,7650,4350,1680000,0,2,1,
335,L,1.85,3.46,4.29,3400,3600,4250,6250,12450,0,1675000,2,1,0,
334,X,1.81,3.42,4.51,3050,3600,3850,5500,0,17250,1670000,1,0,27,
333,F,1.82,3.70,4.18,4950,3750,5300,0,10050,12000,1665000,0,2,26,
332,F,1.86,3.36,4.05,7100,4750,6350,0,11150,15600,1660000,0,1,25,
331,X,1.80,3.39,4.96,10000,3000,2500,18000,0,12400,1655000,1,0,24,
330,F,1.85,3.48,4.17,8950,2600,2600,0,6350,10700,1650000,0,2,23,
329,F,1.83,3.63,4.26,2450,3150,3850,0,8200,6250,1645000,0,1,22,
328,X,1.93,3.40,4.16,2450,3400,3850,4700,0,15900,1640000,2,0,21,
327,X,1.81,3.49,4.28,2450,3250,3700,4400,0,15700,1635000,1,0,20,
326,F,1.91,3.45,4.20,4200,3900,4900,0,9550,10500,1630000,0,2,19,
325,F,1.90,3.31,4.25,6100,4700,5750,0,10850,14300,1625000,0,1,18,
324,X,1.83,3.54,4.27,9350,2750,2900,17100,0,12300,1620000,2,0,17,
323,X,1.82,3.53,4.63,1300,3000,3050,2350,0,13950,1615000,1,0,16,
322,F,1.90,3.43,4.28,3700,3800,4500,0,9200,9250,1610000,0,2,15,
321,F,1.82,3.59,4.46,5400,4150,5250,0,10650,13300,1605000,0,1,14,
320,X,1.85,3.70,4.03,8900,2550,3050,16450,0,12250,1600000,1,0,13,
319,F,1.86,3.52,4.21,8700,2450,2400,0,6100,9950,1595000,0,2,12,
318,F,1.86,3.38,4.20,2500,3400,3750,0,8000,5650,1590000,0,1,11,
317,X,1.83,3.53,4.49,2200,3250,3550,4000,0,15900,1585000,1,0,10,
316,F,1.84,3.39,4.25,4800,4100,4900,0,9700,10800,1580000,0,2,9,
315,F,1.85,3.69,4.06,6100,4050,6100,0,10850,14750,1575000,0,1,8,
314,X,1.84,3.42,4.06,9350,2850,3050,17200,0,12300,1570000,2,0,7,
313,X,1.91,3.32,4.18,1500,3150,3200,2850,0,13250,1565000,1,0,6,
312,F,1.82,3.57,4.49,9250,2550,2400,0,6500,10750,1560000,0,3,5,
311,F,1.87,3.34,4.55,2600,3600,3650,0,8400,6450,1555000,0,2,4,
310,F,1.81,3.43,4.37,4950,4100,4900,0,9900,11300,1550000,0,1,3,
309,X,1.92,3.32,4.27,8400,2700,2400,16100,0,10200,1545000,1,0,2,
308,F,1.84,3.43,4.41,2400,3400,3600,0,8150,5850,1540000,0,3,1,
307,L,1.84,3.62,4.16,4050,3600,4800,7450,12950,0,1535000,1,2,0,
306,F,1.85,3.60,4.16,5750,4100,5750,0,10600,13800,1530000,0,1,6,
