event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.86,3.55,4.14,8900,2650,2850,16550,0,11650,1685000,1,0,2,
336,F,1.84,3.30,4.18,3350,3700,4100,0,8450,7000,1680000,0,2,1,
335,L,1.83,3.71,4.06,4500,3550,5150,8200,13150,0,1675000,2,1,0,
334,X,1.80,3.59,4.29,9100,2250,2100,16350,0,8950,1670000,1,0,27,
333,F,1.88,3.44,4.28,8200,2200,1750,0,5300,7350,1665000,0,2,26,
332,F,1.81,3.38,4.22,1700,3100,3250,0,7300,3600,1660000,0,1,25,
331,X,1.91,3.48,4.12,1750,3050,3500,3300,0,14350,1655000,1,0,24,
330,F,1.83,3.36,4.62,3750,3950,4150,0,9300,9100,1650000,0,2,23,
329,F,1.89,3.40,4.19,5750,4450,5650,0,10600,13650,1645000,0,1,22,
328,X,1.86,3.31,4.66,9250,2950,2450,17200,0,11400,1640000,2,0,21,
327,X,1.82,3.87,4.12,1100,2550,3350,2000,0,13700,1635000,1,0,20,
326,F,1.91,3.31,4.16,8650,2850,2700,0,6500,11150,1630000,0,2,19,
325,F,1.84,3.42,4.12,3000,3450,4050,0,8300,6650,1625000,0,1,18,
324,X,1.86,3.63,4.02,2500,3100,4050,4650,0,16250,1620000,2,0,17,
323,X,1.92,3.33,4.28,2400,3500,3700,4600,0,15700,1615000,1,0,16,
322,F,1.84,3.33,4.74,4200,4200,4300,0,9750,10300,1610000,0,2,15,
321,F,1.80,3.69,4.02,6650,4100,6200,0,10900,14850,1605000,0,1,14,
320,X,1.97,3.36,4.01,8300,3050,3300,16350,0,13200,1600000,1,0,13,
319,F,1.87,3.69,4.06,3250,3300,4500,0,8800,8250,1595000,0,2,12,
318,F,1.80,3.40,4.80,5000,4350,4650,0,10400,12150,1590000,0,1,11,
317,X,1.86,3.36,4.40,9100,2800,2500,16900,0,11000,1585000,1,0,10,
316,F,1.80,3.35,4.47,9450,2550,2050,0,5900,9150,1580000,0,2,9,
315,F,1.85,3.36,4.08,2500,3350,3750,0,7800,5200,1575000,0,1,8,
314,X,1.80,3.47,4.14,2350,3200,3650,4200,0,15050,1570000,2,0,7,
313,X,1.83,3.47,4.11,2250,3150,3700,4100,0,15100,1565000,1,0,6,
312,F,1.85,3.49,4.04,9200,2800,3050,0,6850,12300,1560000,0,3,5,
311,F,1.85,3.48,4.43,8850,2500,2250,0,6200,9900,1555000,0,2,4,
310,F,1.81,3.43,4.63,2250,3400,3400,0,8150,5700,1550000,0,1,3,
309,X,1.88,3.31,4.44,2450,3550,3600,4600,0,15850,1545000,1,0,2,
308,F,1.87,3.38,4.56,4300,4150,4550,0,9800,10600,1540000,0,3,1,
307,L,1.80,3.38,4.58,9500,2600,2150,17100,8750,0,1535000,1,2,0,
306,F,1.81,3.44,4.63,2200,3350,3400,0,8150,5600,1530000,0,1,6,
305,X,1.88,3.47,4.21,2400,3300,3800,4500,0,15850,1525000,2,0,5,
304,X,1.84,3.47,4.12,2450,3250,3800,4500,0,15600,1520000,1,0,4,
303,F,1.88,3.42,4.28,9050,2950,3000,0,7050,12700,1515000,0,2,3,
302,F,1.82,3.69,4.07,3300,3250,4450,0,8700,8050,1510000,0,1,2,
301,X,1.82,3.40,4.71,2850,3650,3650,5150,0,17150,1505000,4,0,1,
300,L,1.82,3.50,4.40,4600,3950,4800,8350,13800,0,1500000,3,2,0,
299,L,1.87,3.53,4.18,8900,2700,2900,16600,9500,0,1495000,2,1,0,
298,X,1.86,3.47,4.28,1350,3000,3150,2500,0,13400,1490000,1,0,2,
297,F,1.85,3.68,4.21,3300,3350,4450,0,8950,8600,1485000,0,5,1,
296,L,1.85,3.64,4.19,8400,2100,1900,15500,7600,0,1480000,1,4,0,
295,F,1.83,3.57,4.22,1600,2950,3350,0,7500,4050,1475000,0,3,4,
294,F,1.94,3.40,4.13,3700,3800,4650,0,9100,9100,1470000,0,2,3,
293,F,1.80,3.86,4.06,5500,3650,5750,0,10350,13200,1465000,0,1,2,
