event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.82,3.77,4.19,1034950,282800,570850,1883600,0,2391850,1685000,1,0,2,
336,F,1.80,3.54,4.22,894850,254500,466350,0,646400,1957900,1680000,0,2,1,
335,L,1.85,3.59,4.09,742200,215850,420000,1373050,774900,0,1675000,2,1,0,
334,X,1.83,3.45,4.15,455850,136950,246400,834200,0,1022500,1670000,1,0,27,
333,F,1.85,3.46,4.20,363500,113150,200800,0,278250,833350,1665000,0,2,26,
332,F,1.84,3.61,4.11,302050,88200,170500,0,230100,690700,1660000,0,1,25,
331,X,1.95,3.43,4.04,168700,58450,106800,328950,0,431350,1655000,1,0,24,
330,F,1.81,3.31,4.76,151200,53100,74350,0,122650,343850,1650000,0,2,23,
329,F,1.85,3.34,4.16,133500,44200,74250,0,103400,298750,1645000,0,1,22,
328,X,1.80,3.52,4.14,82750,25550,45650,148950,0,188950,1640000,2,0,21,
327,X,1.83,3.36,4.48,48050,18100,26750,87900,0,119700,1635000,1,0,20,
326,F,1.82,3.35,4.81,41300,16650,22200,0,39050,96600,1630000,0,2,19,
325,F,1.87,3.54,4.08,37900,13750,24200,0,34800,88650,1625000,0,1,18,
324,X,1.83,3.55,4.14,24250,9400,15700,44350,0,64900,1620000,2,0,17,
323,X,1.84,3.55,4.02,15450,6800,11150,28400,0,44750,1615000,1,0,16,
322,F,1.82,3.59,4.01,15350,6600,10950,0,17000,33900,1610000,0,2,15,
321,F,1.86,3.72,4.08,13750,6200,10600,0,16850,33100,1605000,0,1,14,
320,X,1.80,3.61,4.26,9650,5150,7550,17350,0,32000,1600000,1,0,13,
319,F,1.89,3.34,4.15,10300,5950,8200,0,13900,23950,1595000,0,2,12,
318,F,1.82,3.50,4.31,11000,5800,8200,0,14450,25200,1590000,0,1,11,
317,X,1.88,3.60,4.14,7250,4600,6750,13600,0,27850,1585000,1,0,10,
316,F,1.82,3.44,4.06,9400,5200,7500,0,12650,20350,1580000,0,2,9,
315,F,1.92,3.38,4.27,8950,5650,7550,0,13400,22100,1575000,0,1,8,
314,X,1.82,3.43,4.26,6900,4650,6000,12550,0,25400,1570000,2,0,7,
313,X,1.83,3.34,4.19,9700,3050,3100,17750,0,12850,1565000,1,0,6,
312,F,1.81,3.36,4.69,9600,2750,2250,0,6400,10400,1560000,0,3,5,
311,F,1.82,3.50,4.10,8950,2300,2150,0,5750,8800,1555000,0,2,4,
