event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.87,3.51,4.10,757200,230500,433250,1415950,0,1776200,1685000,1,0,2,
336,F,1.88,3.32,4.22,619900,206100,344400,0,478100,1443300,1680000,0,2,1,
335,L,1.85,3.73,4.13,545250,155050,313400,1008700,578300,0,1675000,2,1,0,
334,X,1.87,3.43,4.24,330550,107150,185400,618100,0,785950,1670000,1,0,27,
333,F,1.81,3.33,4.67,282950,95100,139050,0,221550,639300,1665000,0,2,26,
332,F,1.95,3.31,4.03,224150,79200,138700,0,182950,548850,1660000,0,1,25,
331,X,1.86,3.63,4.16,140350,43450,82250,261050,0,342050,1655000,1,0,24,
330,F,1.86,3.45,4.02,123100,39100,71750,0,95700,278300,1650000,0,2,23,
329,F,1.87,3.30,4.38,98400,35800,54800,0,82250,230000,1645000,0,1,22,
328,X,1.83,3.42,4.14,63750,21450,36450,116650,0,150800,1640000,2,0,21,
327,X,1.90,3.42,4.04,36700,14100,23900,69700,0,96550,1635000,1,0,20,
326,F,1.80,3.48,4.08,35650,12400,21100,0,30700,76000,1630000,0,2,19,
325,F,1.94,3.32,4.15,27500,12150,18700,0,28100,67500,1625000,0,1,18,
324,X,1.82,3.44,4.62,18450,8550,11550,33550,0,53350,1620000,2,0,17,
323,X,1.90,3.43,4.07,12300,6400,9650,23350,0,39250,1615000,1,0,16,
322,F,1.81,3.42,4.52,12750,6600,8700,0,15950,29200,1610000,0,2,15,
321,F,1.89,3.39,4.05,13150,6700,10000,0,15950,30500,1605000,0,1,14,
320,X,1.81,3.31,4.22,9300,5450,7050,16800,0,29650,1600000,1,0,13,
319,F,1.84,3.65,4.12,9250,5000,7750,0,13250,21900,1595000,0,2,12,
318,F,1.86,3.49,4.14,10150,5550,8150,0,13800,23600,1590000,0,1,11,
317,X,1.89,3.53,4.11,6750,4550,6450,12750,0,26500,1585000,1,0,10,
316,F,1.90,3.35,4.36,7800,5300,6700,0,12450,19050,1580000,0,2,9,
315,F,1.88,3.32,4.47,8950,5800,7050,0,13350,21450,1575000,0,1,8,
314,X,1.87,3.47,4.02,6700,4500,6300,12500,0,25250,1570000,2,0,7,
313,X,1.89,3.40,4.14,9000,3000,3150,17000,0,12950,1565000,1,0,6,
312,F,1.88,3.32,4.62,8900,2800,2300,0,6400,10500,1560000,0,3,5,
311,F,1.85,3.35,4.67,2500,3600,3500,0,8350,6250,1555000,0,2,4,
310,F,1.91,3.44,4.15,4650,4050,5150,0,9800,11300,1550000,0,1,3,
309,X,1.84,3.43,4.25,8950,2500,2250,16450,0,9500,1545000,1,0,2,
308,F,1.94,3.47,4.03,2200,3200,3850,0,7850,5400,1540000,0,3,1,
307,L,1.85,3.48,4.23,3650,3650,4450,6750,12650,0,1535000,1,2,0,
306,F,1.83,3.48,4.21,5650,4200,5450,0,10350,12900,1530000,0,1,6,
305,X,1.84,3.68,4.08,4200,3550,4950,7700,0,20100,1525000,2,0,5,
304,X,1.83,3.35,4.81,9000,2450,1700,16450,0,8100,1520000,1,0,4,
303,F,1.83,3.32,4.64,1750,3350,3100,0,7700,4350,1515000,0,2,3,
302,F,1.89,3.48,4.15,3950,3750,4750,0,9300,9650,1510000,0,1,2,
301,X,1.85,3.82,4.03,3200,3150,4550,5900,0,18300,1505000,4,0,1,
300,L,1.81,3.57,4.46,4700,3950,4850,8500,14000,0,1500000,3,2,0,
299,L,1.86,3.48,4.30,9150,2850,2900,17000,9800,0,1495000,2,1,0,
298,X,1.80,3.42,4.75,1400,3150,2950,2500,0,14000,1490000,1,0,2,
297,F,1.83,3.77,4.14,9000,2450,2900,0,6750,11900,1485000,0,5,1,
296,L,1.87,3.39,4.40,2300,3400,3600,4300,11450,0,1480000,1,4,0,
295,F,1.81,3.35,4.18,9950,3050,3150,0,7100,13050,1475000,0,3,4,
294,F,1.80,3.36,4.20,3900,3750,4350,0,8800,8200,1470000,0,2,3,
293,F,1.87,3.68,4.06,5000,3800,5550,0,10150,12500,1465000,0,1,2,
292,X,1.90,3.49,4.13,8450,2600,2700,16050,0,11050,1460000,2,0,1,
291,L,1.80,3.69,4.09,2200,2950,3800,3950,10850,0,1455000,1,3,0,
290,F,1.84,3.47,4.29,4250,3850,4700,0,9500,10050,1450000,0,2,4,
289,F,1.82,3.38,4.03,6750,4500,6000,0,10700,14150,1445000,0,1,3,
288,X,1.84,3.50,4.51,4300,3950,4650,7900,0,20950,1440000,4,0,2,
287,X,1.86,3.41,4.44,3750,3850,4350,6950,0,19200,1435000,3,0,1,
286,L,1.82,3.60,4.15,5450,3950,5500,9900,14200,0,1430000,2,1,0,
285,X,1.84,3.46,4.10,9050,2600,2650,16650,0,10800,1425000,1,0,6,
284,F,1.82,3.86,4.02,2400,2850,4100,0,8150,6350,1420000,0,2,5,
283,F,1.85,3.71,4.09,9000,2650,3250,0,7150,13250,1415000,0,1,4,
282,X,1.81,3.46,4.76,1550,3200,3050,2800,0,14350,1410000,1,0,3,
281,F,1.84,3.37,4.04,9450,2900,3050,0,6800,12250,1405000,0,9,2,
280,F,1.91,3.41,4.00,8300,2550,2500,0,6050,9950,1400000,0,8,1,
279,L,1.86,3.58,4.25,1600,2950,3400,2950,10550,0,1395000,1,7,0,
278,F,1.85,3.52,4.13,9100,2700,2900,0,6750,11900,1390000,0,6,3,
277,F,1.92,3.35,4.18,8300,2600,2350,0,6050,9700,1385000,0,5,2,
276,F,1.80,3.87,4.10,2000,2800,3800,0,7900,5500,1380000,0,4,1,
275,L,1.88,3.39,4.12,3700,3750,4500,6950,12650,0,1375000,1,3,0,
274,F,1.83,3.59,4.23,5250,4000,5350,0,10300,12600,1370000,0,2,1,
273,L,1.82,3.37,4.42,9700,2950,2800,17650,9900,0,1365000,2,1,0,
272,X,1.82,3.53,4.00,1600,2900,3400,2900,0,13550,1360000,1,0,2,
271,F,1.84,3.68,4.04,8850,2400,2750,0,6400,11000,1355000,0,4,1,
270,L,1.81,3.50,4.14,2100,3100,3600,3800,10850,0,1350000,1,3,0,
269,F,1.85,3.50,4.44,9200,2800,2750,0,6900,12150,1345000,0,2,1,
268,L,1.80,3.31,4.78,2450,3600,3350,4400,11900,0,1340000,3,1,0,
267,X,1.86,3.43,4.17,2600,3350,3850,4800,0,16050,1335000,2,0,1,
266,L,1.82,3.34,4.12,4150,3850,4550,7550,12750,0,1330000,1,8,0,
265,F,1.86,3.57,4.11,5300,4000,5550,0,10250,12700,1325000,0,7,1,
264,L,1.80,3.41,4.46,9850,2850,2700,17700,9700,0,1320000,1,6,0,
263,F,1.81,3.47,4.32,9300,2500,2300,0,6150,9900,1315000,0,5,3,
262,F,1.87,3.30,4.03,2850,3500,3950,0,7950,5800,1310000,0,4,2,
261,F,1.86,3.38,4.24,4450,4000,4800,0,9500,10300,1305000,0,3,1,
260,L,1.83,3.80,4.01,5800,3800,6000,10600,14400,0,1300000,4,2,0,
259,L,1.86,3.35,4.23,6750,4800,6000,12550,16000,0,1295000,3,1,0,
258,X,1.85,3.54,4.05,4950,3900,5300,9150,0,21400,1290000,2,0,5,
