event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.91,3.49,4.01,567300,178650,342550,1083500,0,1373600,1685000,1,0,2,
336,F,1.96,3.33,4.05,446250,156550,276850,0,364700,1111100,1680000,0,2,1,
335,L,1.81,3.51,4.51,417300,129250,213750,755300,453650,0,1675000,2,1,0,
334,X,1.82,3.45,4.38,261050,82150,136900,475100,0,599550,1670000,1,0,27,
333,F,1.87,3.36,4.55,204700,72500,110550,0,171000,492850,1665000,0,2,26,
332,F,1.83,3.37,4.66,178900,61850,91600,0,146550,416750,1660000,0,1,25,
331,X,1.85,3.62,4.03,113850,34450,67300,210600,0,271100,1655000,1,0,24,
330,F,1.80,3.59,4.53,93900,30250,49850,0,78300,215750,1650000,0,2,23,
329,F,1.83,3.44,4.58,79350,28100,42750,0,68450,185750,1645000,0,1,22,
328,X,1.83,3.71,4.19,50850,16550,30650,93050,0,128400,1640000,2,0,21,
327,X,1.83,3.42,4.14,32850,12300,19950,60100,0,82450,1635000,1,0,20,
326,F,1.85,3.31,4.05,29800,11750,18550,0,27100,65100,1630000,0,2,19,
325,F,1.86,3.44,4.23,25100,10350,16200,0,25250,58400,1625000,0,1,18,
324,X,1.85,3.36,4.04,16650,7600,11550,30800,0,46650,1620000,2,0,17,
323,X,1.84,3.52,4.34,10200,5650,7900,18750,0,34250,1615000,1,0,16,
322,F,1.81,3.36,4.47,11500,6300,8000,0,14800,25750,1610000,0,2,15,
321,F,1.81,3.46,4.72,11400,6300,7900,0,15400,27150,1605000,0,1,14,
320,X,1.86,3.63,4.01,8200,4700,7350,15250,0,29400,1600000,1,0,13,
319,F,1.86,3.57,4.15,8900,5100,7550,0,13100,21300,1595000,0,2,12,
318,F,1.84,3.81,4.09,9600,4900,8150,0,13650,23200,1590000,0,1,11,
317,X,1.87,3.40,4.01,7000,4650,6400,13050,0,25650,1585000,1,0,10,
316,F,1.81,3.50,4.02,8550,4800,7100,0,12000,18400,1580000,0,2,9,
315,F,1.81,3.38,4.02,9900,5400,7600,0,12750,20550,1575000,0,1,8,
314,X,1.91,3.49,4.08,5900,4350,6000,11250,0,24450,1570000,2,0,7,
313,X,1.87,3.62,4.11,8900,2700,3100,16600,0,12650,1565000,1,0,6,
312,F,1.84,3.49,4.27,3300,3550,4200,0,8750,7800,1560000,0,3,5,
311,F,1.87,3.42,4.20,5200,4200,5300,0,10150,12200,1555000,0,2,4,
310,F,1.80,3.60,4.43,6500,4400,5800,0,11400,15650,1550000,0,1,3,
309,X,1.82,3.49,4.01,5350,3950,5400,9700,0,21550,1545000,1,0,2,
308,F,1.85,3.36,4.67,5950,4750,5300,0,11200,14750,1540000,0,3,1,
307,L,1.93,3.35,4.29,7050,5100,6450,13600,17050,0,1535000,1,2,0,
306,F,1.82,3.60,4.31,8550,4950,7050,0,12850,20300,1530000,0,1,6,
305,X,1.89,3.36,4.14,6200,4600,5900,11700,0,24400,1525000,2,0,5,
304,X,1.80,3.59,4.57,9650,2700,2650,17350,0,12000,1520000,1,0,4,
303,F,1.85,3.69,4.19,8650,2350,2400,0,6200,10050,1515000,0,2,3,
302,F,1.85,3.60,4.29,2150,3100,3700,0,8050,5800,1510000,0,1,2,
301,X,1.82,3.46,4.14,2500,3250,3800,4550,0,15600,1505000,4,0,1,
300,L,1.87,3.42,4.47,3600,3850,4250,6700,13050,0,1500000,3,2,0,
299,L,1.84,3.38,4.16,5300,4200,5250,9750,14150,0,1495000,2,1,0,
298,X,1.84,3.47,4.01,8950,2500,2500,16450,0,9950,1490000,1,0,2,
297,F,1.83,3.73,4.11,2150,2950,3800,0,7950,5600,1485000,0,5,1,
