event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,2.00,3.32,4.03,1950,3300,3650,3900,0,14650,1685000,1,0,2,
336,F,1.81,3.48,4.66,3650,3800,4150,0,9350,9250,1680000,0,2,1,
335,L,1.85,3.36,4.66,5150,4450,4900,9500,14950,0,1675000,2,1,0,
334,X,1.81,3.39,4.85,9650,2800,2250,17450,0,10850,1670000,1,0,27,
333,F,1.86,3.68,4.03,2700,3100,4200,0,8300,6900,1665000,0,2,26,
332,F,1.85,3.44,4.40,4600,4100,4800,0,9900,11100,1660000,0,1,25,
331,X,1.80,3.62,4.32,3850,3550,4500,6900,0,19300,1655000,1,0,24,
330,F,1.86,3.33,4.53,5550,4600,5150,0,10700,13300,1650000,0,2,23,
329,F,1.80,3.30,4.73,7400,5200,5700,0,11950,16900,1645000,0,1,22,
328,X,1.84,3.31,4.57,5550,4600,5050,10200,0,22950,1640000,2,0,21,
327,X,1.82,3.37,4.48,9550,2800,2500,17350,0,11100,1635000,1,0,20,
326,F,1.93,3.44,4.04,8050,2450,2300,0,5900,9250,1630000,0,2,19,
325,F,1.92,3.32,4.01,2350,3350,3800,0,7750,5100,1625000,0,1,18,
324,X,1.83,3.43,4.10,2250,3200,3650,4100,0,14950,1620000,2,0,17,
323,X,1.80,3.51,4.44,2100,3200,3450,3750,0,15250,1615000,1,0,16,
322,F,1.83,3.75,4.06,9100,2550,3150,0,7000,12750,1610000,0,2,15,
321,F,1.82,3.35,4.38,3500,3750,4100,0,8750,7850,1605000,0,1,14,
320,X,1.85,3.76,4.11,8200,1950,1800,15150,0,7350,1600000,1,0,13,
319,F,1.86,3.44,4.17,1500,3000,3250,0,7300,3550,1595000,0,2,12,
318,F,1.84,3.37,4.25,3850,3800,4400,0,9000,8600,1590000,0,1,11,
317,X,1.90,3.49,4.02,3100,3400,4350,5850,0,17350,1585000,1,0,10,
316,F,1.83,3.80,4.01,4800,3550,5400,0,9850,11600,1580000,0,2,9,
315,F,1.84,3.81,4.00,6200,3900,6300,0,10950,15100,1575000,0,1,8,
314,X,1.90,3.42,4.31,4500,4100,4950,8550,0,21200,1570000,2,0,7,
313,X,1.83,3.73,4.11,8800,2300,2450,16100,0,10000,1565000,1,0,6,
312,F,1.84,3.57,4.20,8600,2200,1950,0,5550,8150,1560000,0,3,5,
311,F,1.89,3.54,4.14,1650,3000,3450,0,7500,4250,1555000,0,2,4,
310,F,1.84,3.45,4.28,3900,3750,4500,0,9150,9150,1550000,0,1,3,
309,X,1.80,3.44,4.33,3400,3600,4100,6100,0,17700,1545000,1,0,2,
308,F,1.83,3.48,4.21,5350,4100,5300,0,10150,12200,1540000,0,3,1,
307,L,1.83,3.35,4.47,6250,4700,5450,11400,15650,0,1535000,1,2,0,
306,F,1.80,3.36,4.31,8250,5150,6450,0,12050,17750,1530000,0,1,6,
305,X,1.89,3.51,4.10,5400,4150,5650,10200,0,23150,1525000,2,0,5,
304,X,1.82,3.34,4.82,9550,2800,2200,17350,0,10550,1520000,1,0,4,
303,F,1.83,3.64,4.37,2350,3150,3800,0,8300,6500,1515000,0,2,3,
302,F,1.88,3.46,4.25,4550,4000,5000,0,9800,11200,1510000,0,1,2,
301,X,1.80,3.87,4.21,3650,3250,4650,6550,0,19450,1505000,4,0,1,
300,L,1.92,3.46,4.06,5100,4150,5500,9750,14250,0,1500000,3,2,0,
299,L,1.84,3.39,4.50,9350,2850,2650,17200,9650,0,1495000,2,1,0,
298,X,1.90,3.41,4.29,1350,3050,3150,2550,0,13400,1490000,1,0,2,
297,F,1.86,3.53,4.27,3450,3600,4350,0,9000,8550,1485000,0,5,1,
296,L,1.92,3.35,4.01,8000,2350,2050,15350,7850,0,1480000,1,4,0,
295,F,1.84,3.38,4.39,1700,3200,3200,0,7550,4000,1475000,0,3,4,
294,F,1.90,3.47,4.04,3900,3700,4800,0,9100,9250,1470000,0,2,3,
293,F,1.80,3.46,4.25,5900,4250,5450,0,10450,13100,1465000,0,1,2,
292,X,1.99,3.35,4.03,8000,2900,3050,15900,0,12200,1460000,2,0,1,
291,L,1.85,3.40,4.32,2450,3400,3650,4500,11450,0,1455000,1,3,0,
290,F,1.80,3.82,4.16,9450,2550,3150,0,7100,13050,1450000,0,2,4,
289,F,1.84,3.55,4.21,3400,3500,4350,0,8800,8200,1445000,0,1,3,
288,X,1.83,3.71,4.00,3000,3150,4300,5450,0,17200,1440000,4,0,2,
287,X,1.84,3.34,4.69,2650,3650,3550,4850,0,16500,1435000,3,0,1,
286,L,1.85,3.67,4.16,4400,3650,5050,8100,13300,0,1430000,2,1,0,
285,X,1.81,3.34,4.65,9300,2500,1900,16800,0,8700,1425000,1,0,6,
284,F,1.90,3.42,4.01,2200,3200,3750,0,7700,4900,1420000,0,2,5,
283,F,1.90,3.48,4.14,3900,3750,4750,0,9250,9600,1415000,0,1,4,
282,X,1.84,3.30,4.18,8850,2400,1900,16250,0,7850,1410000,1,0,3,
281,F,1.85,3.40,4.17,1800,3150,3350,0,7450,3950,1405000,0,9,2,
280,F,1.80,3.45,4.29,4000,3750,4450,0,9100,8950,1400000,0,8,1,
279,L,1.85,3.39,4.15,8600,2300,1900,15900,7700,0,1395000,1,7,0,
278,F,1.83,3.69,4.07,1450,2750,3450,0,7350,3900,1390000,0,6,3,
277,F,1.81,3.80,4.04,3600,3200,4700,0,8950,8850,1385000,0,5,2,
276,F,1.87,3.42,4.03,5700,4250,5700,0,10250,12850,1380000,0,4,1,
275,L,1.85,3.32,4.72,9450,3000,2600,17450,9950,0,1375000,1,3,0,
274,F,1.85,3.40,4.30,9000,2650,2400,0,6250,10200,1370000,0,2,1,
273,L,1.85,3.47,4.06,1900,3050,3550,3500,10550,0,1365000,2,1,0,
272,X,1.89,3.34,4.31,1950,3300,3400,3650,0,14600,1360000,1,0,2,
271,F,1.82,3.43,4.20,9550,2800,2900,0,6800,12100,1355000,0,4,1,
270,L,1.92,3.36,4.31,2350,3450,3700,4500,11500,0,1350000,1,3,0,
269,F,1.91,3.36,4.10,4550,4050,5050,0,9550,10600,1345000,0,2,1,
268,L,1.85,3.64,4.27,5550,4100,5600,10250,14850,0,1340000,3,1,0,
267,X,1.81,3.60,4.03,9400,2600,3000,17000,0,12050,1335000,2,0,1,
266,L,1.97,3.40,4.01,2350,3300,3950,4600,11200,0,1330000,1,8,0,
265,F,1.85,3.56,4.32,4100,3750,4700,0,9500,10150,1325000,0,7,1,
264,L,1.82,3.46,4.34,9100,2450,2150,16550,8400,0,1320000,1,6,0,
263,F,1.93,3.31,4.25,2200,3400,3600,0,7850,5200,1315000,0,5,3,
262,F,1.85,3.73,4.07,8900,2550,3100,0,6950,12500,1310000,0,4,2,
261,F,1.88,3.60,4.06,3150,3350,4400,0,8600,7750,1305000,0,3,1,
260,L,1.81,3.64,4.16,4700,3700,5100,8500,13450,0,1300000,4,2,0,
259,L,1.83,3.31,4.63,5700,4650,5050,10400,15350,0,1295000,3,1,0,
258,X,1.85,3.74,4.11,8900,2550,3050,16450,0,12450,1290000,2,0,5,
257,X,1.88,3.44,4.11,1500,3000,3300,2800,0,13550,1285000,1,0,4,
256,F,1.85,3.37,4.59,9200,2800,2400,0,6550,11000,1280000,0,4,3,
255,F,1.87,3.53,4.23,2750,3350,4000,0,8350,6800,1275000,0,3,2,
254,F,1.91,3.46,4.11,4650,4000,5200,0,9800,11350,1270000,0,2,1,
253,L,1.81,3.82,4.12,6150,3900,6050,11100,14850,0,1265000,3,1,0,
252,X,1.81,3.80,4.23,4600,3600,5100,8300,0,21500,1260000,2,0,1,
251,L,1.86,3.74,4.05,8900,2650,3250,16550,9800,0,1255000,1,3,0,
250,F,1.80,3.86,4.13,3200,3100,4450,0,8800,8250,1250000,0,2,3,
249,F,1.83,3.35,4.78,4950,4450,4650,0,10400,12200,1245000,0,1,2,
248,X,1.84,3.38,4.26,4350,3950,4700,8000,0,19950,1240000,3,0,1,
247,L,1.91,3.59,4.01,8250,2500,2750,15750,8900,0,1235000,2,4,0,
246,L,1.97,3.30,4.05,1950,3300,3550,3800,10800,0,1230000,1,3,0,
245,F,1.90,3.48,4.20,3650,3700,4550,0,9150,9100,1225000,0,2,6,
244,F,1.83,3.32,4.33,5950,4550,5350,0,10550,13150,1220000,0,1,5,
243,X,1.87,3.65,4.11,4200,3650,5000,7850,0,20500,1215000,2,0,4,
242,X,1.84,3.69,4.21,3400,3350,4500,6250,0,18800,1210000,1,0,3,
241,F,1.83,3.72,4.16,5350,3850,5550,0,10350,12950,1205000,0,1,2,
240,X,1.87,3.54,4.15,4150,3750,4850,7750,0,20000,1200000,2,0,1,
239,L,1.91,3.30,4.15,8400,2600,2300,16000,8550,0,1195000,1,4,0,
238,F,1.84,3.40,4.23,2350,3300,3650,0,7850,5300,1190000,0,3,4,
237,F,1.80,3.54,4.15,4500,3750,4850,0,9400,10100,1185000,0,2,3,
236,F,1.81,3.50,4.35,5950,4300,5500,0,10750,13900,1180000,0,1,2,
235,X,1.82,3.36,4.71,4550,4250,4450,8250,0,20900,1175000,4,0,1,
234,L,1.92,3.32,4.30,5750,4650,5600,11000,15400,0,1170000,3,1,0,
233,X,1.86,3.67,4.02,8900,2650,3150,16550,0,12600,1165000,2,0,1,
232,L,1.91,3.47,4.15,2550,3350,3950,4850,11550,0,1160000,1,8,0,
231,F,1.90,3.52,4.15,4350,3850,5050,0,9650,10900,1155000,0,7,1,
230,L,1.83,3.48,4.32,9100,2550,2400,16650,8850,0,1150000,1,6,0,
229,F,1.81,3.54,4.59,2200,3250,3500,0,8250,5950,1145000,0,5,2,
228,F,1.83,3.45,4.55,4400,4050,4600,0,9850,10850,1140000,0,4,1,
227,L,1.97,3.31,4.05,8250,3000,3050,16250,9850,0,1135000,1,3,0,
226,F,1.86,3.31,4.09,3550,3750,4300,0,8550,7500,1130000,0,2,14,
225,F,1.89,3.34,4.01,5300,4250,5450,0,9900,11850,1125000,0,1,13,
224,X,1.98,3.33,4.06,3700,3900,4700,7300,0,19000,1120000,1,0,12,
223,F,1.81,3.58,4.07,5850,4000,5700,0,10300,13050,1115000,0,1,11,
222,X,1.85,3.44,4.47,4100,3950,4500,7550,0,20100,1110000,2,0,10,
221,X,1.83,3.48,4.50,10250,2050,1450,18750,0,6450,1105000,1,0,9,
220,F,1.85,3.31,4.62,10150,2200,1400,0,5000,5000,1100000,0,5,8,
219,F,1.94,3.38,4.17,8450,2900,2950,0,6900,12250,1095000,0,4,7,
218,F,1.85,3.38,4.11,8950,2600,2450,0,6150,10050,1090000,0,3,6,
217,F,1.89,3.59,4.06,8050,2150,2050,0,5550,8200,1085000,0,2,5,
216,F,1.89,3.45,4.02,1800,3050,3550,0,7450,4250,1080000,0,1,4,
215,X,1.93,3.39,4.10,1900,3200,3550,3650,0,14500,1075000,1,0,3,
214,F,1.82,3.36,4.26,4250,3900,4550,0,9200,9350,1070000,0,1,2,
213,X,1.86,3.43,4.10,3400,3550,4350,6300,0,17700,1065000,3,0,1,
212,L,1.82,3.43,4.64,4400,4100,4500,8000,13950,0,1060000,2,11,0,
211,L,1.80,3.56,4.51,10600,2000,1450,19050,7000,0,1055000,1,10,0,
210,F,1.91,3.47,4.13,8150,2400,2250,0,5850,9150,1050000,0,9,4,
209,F,1.88,3.45,4.29,8200,2200,1750,0,5300,7450,1045000,0,8,3,
208,F,1.90,3.42,4.23,1450,3050,3250,0,7350,3650,1040000,0,7,2,
207,F,1.82,3.44,4.27,3850,3750,4400,0,9050,8700,1035000,0,6,1,
206,L,1.88,3.52,4.21,4900,4050,5250,9200,14150,0,1030000,2,5,0,
205,L,1.87,3.55,4.28,9050,2850,3050,16900,10000,0,1025000,1,4,0,
204,F,1.81,3.76,4.19,3300,3250,4400,0,8850,8300,1020000,0,3,1,
203,L,1.85,3.61,4.15,4850,3850,5250,8950,13800,0,1015000,1,2,0,
202,F,1.81,3.38,4.11,7250,4700,6150,0,11100,15250,1010000,0,1,5,
201,X,1.83,3.68,4.01,4850,3650,5350,8850,0,21350,1005000,1,0,4,
200,F,1.85,3.42,4.39,6200,4600,5650,0,11050,14700,1000000,0,2,3,
199,F,1.81,3.51,4.32,7850,4850,6500,0,12100,18000,995000,0,1,2,
198,X,1.81,3.39,4.59,5700,4500,5100,10300,0,23300,990000,8,0,1,
197,L,1.82,3.47,4.61,6800,4800,5750,12350,16550,0,985000,7,3,0,
196,L,1.82,3.40,4.79,7900,5350,6100,14350,18100,0,980000,6,2,0,
195,L,1.88,3.40,4.43,8900,5600,7200,16700,19000,0,975000,5,1,0,
194,X,1.81,3.72,4.23,6650,4200,6150,12000,0,25950,970000,4,0,2,
193,X,1.82,3.53,4.21,5150,4000,5200,9350,0,21850,965000,3,0,1,
192,L,1.86,3.40,4.31,9150,2850,2800,17000,9650,0,960000,2,3,0,
191,L,1.86,3.47,4.36,2400,3350,3700,4450,11550,0,955000,1,2,0,
190,F,1.91,3.39,4.15,4600,4100,5050,0,9700,10900,950000,0,1,11,
189,X,1.82,3.36,4.57,10500,2150,1450,19100,0,6450,945000,1,0,10,
188,F,1.89,3.46,4.02,9850,2050,1700,0,5000,5000,940000,0,12,9,
187,F,1.82,3.58,4.25,10400,1950,1550,0,5000,5000,935000,0,11,8,
186,F,1.83,3.54,4.30,10350,2000,1550,0,5000,5000,930000,0,10,7,
