event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.84,3.54,4.45,53448469590750,16519054201700,28377660259500,98345184046950,0,126280588154750,1685000,1,0,2,
336,F,1.92,3.38,4.04,44029541852000,14329925059000,26177253449800,0,34105221640350,105756103927150,1680000,0,2,1,
335,L,1.84,3.68,4.07,39779237660850,11002792073850,22411767566250,73193797295950,40490274831750,0,1675000,2,1,0,
334,X,1.93,3.36,4.26,22245204676350,7693119189450,12994921164550,42933245025350,0,55358364160850,1670000,1,0,27,
333,F,1.81,3.51,4.48,19946711020900,6022040955000,10134794976900,0,15115322796950,45403881486350,1665000,0,2,26,
332,F,1.81,3.41,4.05,17908950433000,5101160115300,9405089740400,0,12293795877800,38090613438600,1660000,0,1,25,
331,X,1.89,3.47,4.01,9677570478150,2955004966850,5658032763700,18290608203700,0,22688711382300,1655000,1,0,24,
330,F,1.90,3.33,4.09,7830631971250,2553986028250,4493582750850,0,5950787445750,18378753440850,1650000,0,2,23,
329,F,1.92,3.34,4.17,6164112889500,2083084455800,3587899407500,0,4874417626500,14961540519250,1645000,0,1,22,
328,X,1.85,3.44,4.24,3918142819400,1207899106050,2122522295400,7248564215850,0,8999494532400,1640000,2,0,21,
327,X,1.83,3.54,4.05,2426120811250,684187692800,1329492585500,4439801084550,0,5384444971200,1635000,1,0,20,
326,F,1.80,3.43,4.06,2075578252700,582017821850,1078444785300,0,1414303307000,4378485818300,1630000,0,2,19,
325,F,1.86,3.37,4.12,1571261622000,487399908250,863885091650,0,1155137782550,3559206567450,1625000,0,1,18,
324,X,1.81,3.31,4.50,957835066750,305451342900,470395066150,1733681470800,0,2116777797550,1620000,2,0,17,
323,X,1.83,3.36,4.03,589812969850,173758765300,315786004650,1079357734800,0,1272617598650,1615000,1,0,16,
322,F,1.88,3.34,4.02,453955313400,142267884750,257212796000,0,332906850250,1033995429800,1610000,0,2,15,
321,F,1.80,3.38,4.06,400533819850,113835930300,206591130550,0,270929514050,838759980000,1605000,0,1,14,
320,X,1.81,3.83,4.16,220860692800,57901848950,120995317200,399757853950,0,503340519550,1600000,1,0,13,
319,F,1.82,3.66,4.25,179855760750,50685473250,96796255550,0,134823358800,411384076000,1595000,0,2,12,
318,F,1.83,3.44,4.29,149886262350,45561533200,78844069550,0,111170140950,338241048300,1590000,0,1,11,
317,X,1.82,3.53,4.32,90663288600,26760581150,47583320500,165007185250,0,205559944450,1585000,1,0,10,
316,F,1.99,3.32,4.04,66626845400,23720841000,42239740900,0,55032351050,170648543200,1580000,0,2,9,
315,F,1.95,3.43,4.05,55433637200,18419608450,34242351850,0,44759648450,138681514900,1575000,0,1,8,
314,X,1.83,3.51,4.05,36926856650,10495549350,20153746650,67576147650,0,81622673850,1570000,2,0,7,
313,X,1.83,3.30,4.97,20902393350,7376883550,9972107900,38251379800,0,49561376200,1565000,1,0,6,
312,F,1.81,3.42,4.03,20134662950,5695335200,10613746750,0,13782711150,42773389300,1560000,0,3,5,
311,F,1.83,3.34,4.66,14843931000,4944398950,7376068750,0,11569893500,34372470200,1555000,0,2,4,
310,F,1.85,3.47,4.03,12991462450,3805102350,7237645700,0,9398602800,29167702150,1550000,0,1,3,
309,X,1.88,3.43,4.37,7299301200,2394560950,4028829100,13722686250,0,17605983000,1545000,1,0,2,
308,F,1.82,3.41,4.73,6216753550,2032921000,3064821900,0,4899339550,14496597450,1540000,0,3,1,
307,L,1.88,3.36,4.16,5520822600,1771422250,3086906600,10379146450,5951978650,0,1535000,1,2,0,
306,F,1.85,3.49,4.28,4511242850,1383648850,2450912550,0,3445285600,10489895600,1530000,0,1,6,
305,X,1.93,3.37,4.04,2637379450,870060800,1582707050,5090142300,0,6394136350,1525000,2,0,5,
304,X,1.81,3.48,4.65,1668454350,522728050,828724950,3019902350,0,3853571000,1520000,1,0,4,
303,F,1.80,3.35,4.81,1420898950,466025000,670699150,0,1095158750,3226052800,1515000,0,2,3,
302,F,1.89,3.31,4.18,1176583350,388563450,658600700,0,897581550,2752940850,1510000,0,1,2,
301,X,1.91,3.34,4.13,695980150,230777950,402568950,1329322050,0,1662609650,1505000,4,0,1,
300,L,1.82,3.41,4.65,616331800,198925900,306471150,1121723850,678337200,0,1500000,3,2,0,
299,L,1.89,3.32,4.12,537991500,175068400,303749000,1016803900,581227050,0,1495000,2,1,0,
298,X,1.83,3.52,4.46,325406750,100056450,170036150,595494350,0,758361100,1490000,1,0,2,
297,F,1.88,3.32,4.41,265130100,90172950,143146500,0,209201200,631265900,1485000,0,5,1,
296,L,1.84,3.42,4.23,241677450,73872550,129141500,444686500,252644100,0,1480000,1,4,0,
295,F,1.82,3.32,4.56,197938950,64396100,97918800,0,149398900,446499550,1475000,0,3,4,
294,F,1.89,3.45,4.25,155529850,50173950,88252600,0,122926150,375063500,1470000,0,2,3,
293,F,1.88,3.31,4.09,135298550,43387500,75680200,0,100225100,309521950,1465000,0,1,2,
