event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.81,3.38,4.63,9700,2850,2500,17550,0,11450,1685000,1,0,2,
336,F,1.88,3.42,4.42,2800,3550,3900,0,8550,7100,1680000,0,2,1,
335,L,1.86,3.31,4.14,4500,4050,4800,8350,13400,0,1675000,2,1,0,
334,X,1.82,3.51,4.01,8850,2250,2100,16100,0,8300,1670000,1,0,27,
333,F,1.81,3.47,4.17,1900,3050,3450,0,7500,4250,1665000,0,2,26,
332,F,1.82,3.39,4.71,3600,3900,4050,0,9300,9000,1660000,0,1,25,
331,X,1.92,3.45,4.00,8000,2350,2250,15350,0,8900,1655000,1,0,24,
330,F,1.94,3.34,4.07,2100,3300,3650,0,7650,4750,1650000,0,2,23,
329,F,1.87,3.49,4.16,4000,3750,4700,0,9250,9500,1645000,0,1,22,
328,X,1.81,3.31,4.92,3300,3950,3700,5950,0,18100,1640000,2,0,21,
327,X,1.82,3.41,4.81,3050,3750,3750,5550,0,17900,1635000,1,0,20,
326,F,1.82,3.37,4.85,5100,4500,4650,0,10550,12550,1630000,0,2,19,
325,F,1.81,3.36,4.79,6950,5050,5550,0,11900,16550,1625000,0,1,18,
324,X,1.85,3.47,4.45,5300,4300,5200,9800,0,23100,1620000,2,0,17,
323,X,1.83,3.43,4.22,9350,2750,2700,17100,0,11350,1615000,1,0,16,
322,F,1.92,3.37,4.23,8250,2550,2200,0,5950,9300,1610000,0,2,15,
321,F,1.88,3.41,4.33,2050,3300,3500,0,7900,5150,1605000,0,1,14,
320,X,1.82,3.54,4.04,2350,3100,3800,4250,0,15300,1600000,1,0,13,
319,F,1.83,3.35,4.14,9600,2950,3000,0,6900,12400,1595000,0,2,12,
318,F,1.80,3.83,4.03,3100,3050,4400,0,8600,7700,1590000,0,1,11,
317,X,1.83,3.31,4.86,2750,3750,3500,5000,0,16900,1585000,1,0,10,
316,F,1.81,3.33,4.70,5000,4400,4650,0,10250,11800,1580000,0,2,9,
315,F,1.86,3.52,4.02,7000,4500,6500,0,11300,16100,1575000,0,1,8,
314,X,1.87,3.48,4.20,4900,4050,5200,9150,0,21750,1570000,2,0,7,
313,X,1.81,3.37,4.79,9400,2600,2000,17000,0,9500,1565000,1,0,6,
312,F,1.81,3.72,4.10,8750,2050,2000,0,5500,8100,1560000,0,3,5,
311,F,1.87,3.46,4.32,1600,3050,3300,0,7500,4100,1555000,0,2,4,
310,F,1.88,3.35,4.42,9000,2900,2650,0,6700,11600,1550000,0,1,3,
309,X,1.82,3.84,4.01,1200,2550,3400,2150,0,13500,1545000,1,0,2,
308,F,1.82,3.74,4.26,3200,3250,4350,0,8900,8400,1540000,0,3,1,
307,L,1.90,3.51,4.13,4750,4000,5250,9000,13950,0,1535000,1,2,0,
306,F,1.85,3.80,4.05,6150,3950,6250,0,11050,15300,1530000,0,1,6,
305,X,1.80,3.42,4.21,5100,4050,5000,9150,0,20950,1525000,2,0,5,
304,X,1.85,3.59,4.12,8650,2350,2350,16000,0,9650,1520000,1,0,4,
303,F,1.85,3.39,4.40,2200,3350,3500,0,8000,5350,1515000,0,2,3,
302,F,1.84,3.43,4.49,9500,2950,2850,0,7100,12750,1510000,0,1,2,
301,X,1.95,3.34,4.09,1650,3150,3400,3200,0,13800,1505000,4,0,1,
300,L,1.82,3.82,4.13,3200,3150,4450,5800,11950,0,1500000,3,2,0,
299,L,1.80,3.34,4.09,5100,4050,5000,9150,13500,0,1495000,2,1,0,
298,X,1.83,3.50,4.51,3400,3650,4150,6200,0,18550,1490000,1,0,2,
297,F,1.81,3.50,4.46,5400,4200,5150,0,10500,12950,1485000,0,5,1,
296,L,1.81,3.32,4.63,10000,3100,2700,18100,10200,0,1480000,1,4,0,
295,F,1.92,3.40,4.18,8350,2650,2550,0,6350,10550,1475000,0,3,4,
294,F,1.80,3.40,4.02,3100,3400,4050,0,8100,6250,1470000,0,2,3,
293,F,1.82,3.54,4.02,9550,2800,3300,0,7100,13200,1465000,0,1,2,
292,X,1.90,3.49,4.03,1650,3000,3450,3100,0,13900,1460000,2,0,1,
291,L,1.85,3.30,4.33,3100,3700,3900,5700,12150,0,1455000,1,3,0,
290,F,1.81,3.35,4.48,5100,4300,4800,0,10000,11350,1450000,0,2,4,
289,F,1.83,3.39,4.60,6350,4750,5500,0,11350,15200,1445000,0,1,3,
288,X,1.85,3.53,4.28,4900,4000,5150,9050,0,22000,1440000,4,0,2,
287,X,1.82,3.42,4.59,4000,3950,4300,7250,0,19700,1435000,3,0,1,
286,L,1.93,3.31,4.16,5300,4450,5450,10200,14700,0,1430000,2,1,0,
285,X,1.81,3.42,4.83,9450,2650,2150,17100,0,10300,1425000,1,0,6,
284,F,1.84,3.54,4.12,2700,3250,4000,0,8150,6350,1420000,0,2,5,
283,F,1.81,3.57,4.52,4300,3850,4600,0,9800,10700,1415000,0,1,4,
282,X,1.80,3.34,4.19,9400,2500,2150,16900,0,9000,1410000,1,0,3,
281,F,1.82,3.35,4.73,1900,3400,3150,0,7900,4800,1405000,0,9,2,
280,F,1.82,3.31,4.66,4300,4200,4300,0,9600,9950,1400000,0,8,1,
279,L,1.80,3.62,4.13,9250,2400,2500,16650,8600,0,1395000,1,7,0,
278,F,1.82,3.39,4.11,9000,2350,2050,0,5600,8300,1390000,0,6,3,
277,F,1.96,3.34,4.02,1950,3250,3600,0,7500,4350,1385000,0,5,2,
276,F,1.90,3.32,4.42,8800,2900,2650,0,6700,11550,1380000,0,4,1,
275,L,1.82,3.33,4.30,2400,3400,3550,4350,11250,0,1375000,1,3,0,
274,F,1.91,3.36,4.31,4100,4050,4650,0,9450,10000,1370000,0,2,1,
273,L,1.90,3.47,4.18,5350,4250,5550,10150,14650,0,1365000,2,1,0,
272,X,1.88,3.55,4.23,8700,2650,2750,16350,0,11600,1360000,1,0,2,
271,F,1.84,3.38,4.02,8950,2500,2400,0,5950,9550,1355000,0,4,1,
270,L,1.81,3.76,4.09,1550,2750,3500,2800,10300,0,1350000,1,3,0,
269,F,1.80,3.72,4.23,3700,3400,4550,0,9150,9200,1345000,0,2,1,
268,L,1.84,3.34,4.26,5200,4300,5050,9550,14250,0,1340000,3,1,0,
267,X,1.86,3.49,4.40,8750,2500,2300,16250,0,10100,1335000,2,0,1,
266,L,1.81,3.70,4.10,1900,2900,3600,3400,10600,0,1330000,1,8,0,
265,F,1.86,3.65,4.04,4000,3500,4900,0,9200,9650,1325000,0,7,1,
264,L,1.85,3.53,4.21,8600,2300,2150,15900,8050,0,1320000,1,6,0,
263,F,1.89,3.33,4.17,8250,2300,1750,0,5250,7250,1315000,0,5,3,
262,F,1.89,3.39,4.06,1600,3050,3350,0,7250,3500,1310000,0,4,2,
261,F,1.85,3.55,4.05,8900,2550,2750,0,6400,11000,1305000,0,3,1,
260,L,1.83,3.34,4.40,2000,3300,3350,3650,11000,0,1300000,4,2,0,
259,L,1.87,3.40,4.07,3550,3650,4400,6600,12350,0,1295000,3,1,0,
258,X,1.88,3.32,4.31,2900,3650,3900,5450,0,16750,1290000,2,0,5,
257,X,1.82,3.37,4.12,2900,3450,3900,5250,0,16000,1285000,1,0,4,
256,F,1.84,3.65,4.25,9200,2700,3100,0,7150,13050,1280000,0,4,3,
255,F,1.82,3.80,4.20,3150,3200,4350,0,8850,8250,1275000,0,3,2,
