event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.81,3.65,4.38,9350,2550,2650,16900,0,11500,1685000,1,0,2,
336,F,1.85,3.54,4.15,8750,2400,2300,0,6000,9500,1680000,0,2,1,
335,L,1.87,3.39,4.37,1450,3100,3150,2700,10500,0,1675000,2,1,0,
334,X,1.81,3.31,4.84,1800,3400,3050,3250,0,14600,1670000,1,0,27,
333,F,1.85,3.31,4.09,9500,3050,3050,0,6950,12450,1665000,0,2,26,
332,F,1.84,3.53,4.33,3050,3450,4100,0,8700,7650,1660000,0,1,25,
331,X,1.84,3.43,4.09,3050,3450,4100,5600,0,16650,1655000,1,0,24,
330,F,1.81,3.43,4.66,4450,4100,4500,0,9950,10900,1650000,0,2,23,
329,F,1.81,3.39,4.45,6700,4750,5650,0,11250,15100,1645000,0,1,22,
328,X,1.83,3.62,4.05,5000,3800,5350,9150,0,21550,1640000,2,0,21,
327,X,1.80,3.49,4.22,3950,3650,4500,7100,0,18950,1635000,1,0,20,
326,F,1.82,3.32,4.32,6000,4550,5350,0,10450,13050,1630000,0,2,19,
325,F,1.85,3.33,4.45,7100,5050,5950,0,11700,16450,1625000,0,1,18,
324,X,1.87,3.41,4.23,5250,4250,5300,9800,0,22400,1620000,2,0,17,
323,X,1.81,3.38,4.70,9450,2650,2200,17100,0,10200,1615000,1,0,16,
322,F,1.82,3.76,4.04,8600,2050,2150,0,5650,8650,1610000,0,2,15,
321,F,1.81,3.31,4.31,2200,3350,3400,0,7650,4500,1605000,0,1,14,
320,X,1.90,3.31,4.03,2200,3300,3650,4150,0,14600,1600000,1,0,13,
319,F,1.83,3.47,4.38,3800,3750,4400,0,9250,9250,1595000,0,2,12,
318,F,1.87,3.32,4.53,5600,4650,5200,0,10700,13400,1590000,0,1,11,
317,X,1.91,3.34,4.24,8750,2950,2900,16700,0,12200,1585000,1,0,10,
316,F,1.83,3.64,4.30,2900,3300,4100,0,8650,7550,1580000,0,2,9,
315,F,1.91,3.48,4.11,4950,4100,5400,0,10050,12050,1575000,0,1,8,
314,X,1.86,3.31,4.22,4100,3950,4550,7600,0,19100,1570000,2,0,7,
313,X,1.81,3.47,4.23,8900,2200,1800,16100,0,7550,1565000,1,0,6,
312,F,1.82,3.56,4.48,1250,2950,3050,0,7450,3650,1560000,0,3,5,
311,F,1.80,3.42,4.82,9750,2800,2350,0,6750,11300,1555000,0,2,4,
310,F,1.82,3.40,4.66,2850,3600,3700,0,8600,7100,1550000,0,1,3,
309,X,1.92,3.33,4.37,2750,3650,3850,5250,0,16750,1545000,1,0,2,
308,F,1.81,3.89,4.14,4550,3450,5200,0,9850,11500,1540000,0,3,1,
307,L,1.87,3.55,4.05,8900,2700,3050,16600,9550,0,1535000,1,2,0,
306,F,1.89,3.54,4.10,3050,3400,4300,0,8550,7500,1530000,0,1,6,
305,X,1.88,3.52,4.13,2700,3300,4050,5050,0,16700,1525000,2,0,5,
304,X,1.88,3.31,4.14,2700,3500,3850,5050,0,15900,1520000,1,0,4,
303,F,1.84,3.73,4.05,4300,3500,5100,0,9500,10600,1515000,0,2,3,
302,F,1.83,3.66,4.03,6150,4050,6050,0,10700,14300,1510000,0,1,2,
301,X,1.80,3.42,4.28,9700,2750,2700,17450,0,11500,1505000,4,0,1,
300,L,1.88,3.42,4.24,2250,3300,3650,4200,11250,0,1500000,3,2,0,
299,L,1.85,3.50,4.21,3800,3650,4550,7000,12750,0,1495000,2,1,0,
298,X,1.96,3.31,4.03,3200,3700,4350,6250,0,17400,1490000,1,0,2,
297,F,1.85,3.37,4.07,5400,4200,5350,0,9850,11650,1485000,0,5,1,
296,L,1.93,3.37,4.21,8500,2900,2900,16400,9750,0,1480000,1,4,0,
295,F,1.81,3.40,4.17,3500,3600,4200,0,8600,7450,1475000,0,3,4,
294,F,1.90,3.42,4.19,4900,4150,5250,0,10000,11850,1470000,0,2,3,
293,F,1.91,3.56,4.02,6300,4350,6350,0,11100,15500,1465000,0,1,2,
292,X,1.80,3.57,4.36,9750,2800,2950,17550,0,12700,1460000,2,0,1,
