event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.84,3.35,4.50,8950,2500,1950,16450,0,8750,1685000,1,0,2,
336,F,1.80,3.35,4.26,2250,3300,3500,0,7750,4850,1680000,0,2,1,
335,L,1.92,3.51,4.00,3500,3550,4650,6700,12400,0,1675000,2,1,0,
334,X,1.87,3.64,4.04,8150,2050,1900,15200,0,7600,1670000,1,0,27,
333,F,1.87,3.43,4.31,1450,3050,3200,0,7400,3650,1665000,0,2,26,
332,F,1.86,3.38,4.00,4150,3800,4750,0,8950,8900,1660000,0,1,25,
331,X,1.82,3.58,4.20,8700,2100,1750,15800,0,7300,1655000,1,0,24,
330,F,1.84,3.39,4.00,1750,3050,3400,0,7250,3600,1650000,0,2,23,
329,F,1.85,3.47,4.47,9000,2650,2450,0,6500,10950,1645000,0,1,22,
328,X,1.84,3.35,4.69,1100,3100,2800,2000,0,13000,1640000,2,0,21,
327,X,1.81,3.64,4.45,1550,2950,3300,2800,0,14650,1635000,1,0,20,
326,F,1.87,3.32,4.01,9150,2950,3100,0,6800,12300,1630000,0,2,19,
325,F,1.86,3.45,4.30,3050,3550,4050,0,8600,7400,1625000,0,1,18,
324,X,1.94,3.30,4.07,2850,3600,4050,5500,0,16450,1620000,2,0,17,
323,X,1.81,3.57,4.06,2600,3150,3950,4700,0,15900,1615000,1,0,16,
322,F,1.84,3.72,4.12,9050,2600,3150,0,7050,12900,1610000,0,2,15,
321,F,1.81,3.35,4.77,3250,3850,3750,0,8950,7850,1605000,0,1,14,
320,X,1.88,3.42,4.16,3100,3550,4150,5800,0,17250,1600000,1,0,13,
319,F,1.92,3.31,4.34,4750,4350,5000,0,10000,11600,1595000,0,2,12,
318,F,1.80,3.43,4.27,7000,4650,5950,0,11200,15400,1590000,0,1,11,
317,X,1.91,3.52,4.12,4700,3950,5300,8950,0,21700,1585000,1,0,10,
316,F,1.82,3.40,4.65,6300,4750,5400,0,11300,15050,1580000,0,2,9,
315,F,1.96,3.35,4.06,7650,5200,7100,0,12200,18750,1575000,0,1,8,
314,X,1.83,3.46,4.24,5800,4300,5500,10600,0,23250,1570000,2,0,7,
313,X,1.87,3.33,4.10,9050,2850,2800,16900,0,11350,1565000,1,0,6,
312,F,1.93,3.37,4.17,2800,3550,4050,0,8350,6750,1560000,0,3,5,
311,F,1.82,3.37,4.03,5450,4150,5300,0,9750,11300,1555000,0,2,4,
310,F,1.82,3.41,4.28,6600,4600,5800,0,11000,14750,1550000,0,1,3,
309,X,1.81,3.43,4.55,9800,2900,2700,17700,0,12250,1545000,1,0,2,
308,F,1.82,3.39,4.24,3550,3700,4200,0,8750,7800,1540000,0,3,1,
307,L,1.85,3.42,4.06,4800,3950,5100,8850,13500,0,1535000,1,2,0,
306,F,1.84,3.46,4.09,6450,4400,6000,0,10750,14400,1530000,0,1,6,
305,X,1.86,3.37,4.10,4750,4050,5000,8800,0,20350,1525000,2,0,5,
304,X,1.82,3.75,4.17,8750,2150,2150,15900,0,8950,1520000,1,0,4,
303,F,1.90,3.43,4.15,8050,2200,1800,0,5250,7350,1515000,0,2,3,
302,F,1.83,3.46,4.64,1150,3050,2900,0,7400,3400,1510000,0,1,2,
301,X,1.93,3.34,4.19,1850,3250,3450,3550,0,14350,1505000,4,0,1,
300,L,1.81,3.72,4.11,3500,3300,4500,6300,12150,0,1500000,3,2,0,
299,L,1.81,3.54,4.04,5100,3850,5250,9200,13550,0,1495000,2,1,0,
298,X,1.85,3.72,4.02,3600,3300,4750,6650,0,18950,1490000,1,0,2,
297,F,1.82,3.75,4.25,5150,3800,5400,0,10350,12800,1485000,0,5,1,
296,L,1.81,3.38,4.69,9850,2950,2650,17800,9950,0,1480000,1,4,0,
295,F,1.92,3.45,4.02,8300,2600,2600,0,6250,10400,1475000,0,3,4,
294,F,1.88,3.34,4.52,2350,3500,3550,0,8150,5900,1470000,0,2,3,
293,F,1.85,3.37,4.55,4400,4150,4550,0,9800,10700,1465000,0,1,2,
292,X,1.82,3.43,4.11,4000,3700,4550,7250,0,18700,1460000,2,0,1,
291,L,1.84,3.72,4.03,5100,3700,5550,9350,13750,0,1455000,1,3,0,
290,F,1.90,3.53,4.08,6400,4450,6300,0,11150,15600,1450000,0,2,4,
289,F,1.80,3.41,4.65,7750,5150,6050,0,12350,18100,1445000,0,1,3,
288,X,1.83,3.76,4.01,5800,3850,5950,10600,0,23800,1440000,4,0,2,
287,X,1.86,3.41,4.26,9100,2800,2700,16900,0,11500,1435000,3,0,1,
286,L,1.85,3.35,4.37,2250,3400,3500,4150,11300,0,1430000,2,1,0,
285,X,1.90,3.30,4.12,2350,3400,3700,4450,0,15100,1425000,1,0,6,
284,F,1.86,3.32,4.47,4150,4100,4450,0,9450,9750,1420000,0,2,5,
283,F,1.88,3.34,4.22,6050,4600,5700,0,10750,14000,1415000,0,1,4,
282,X,1.86,3.65,4.13,8900,2650,3050,16550,0,12500,1410000,1,0,3,
281,F,1.89,3.37,4.04,8600,2650,2550,0,6200,10200,1405000,0,9,2,
280,F,1.86,3.34,4.42,8650,2400,1900,0,5600,8250,1400000,0,8,1,
279,L,1.80,3.84,4.13,1150,2600,3300,2050,9900,0,1395000,1,7,0,
278,F,1.81,3.35,4.15,9650,2800,2700,0,6500,11050,1390000,0,6,3,
277,F,1.82,3.39,4.54,2700,3550,3650,0,8400,6450,1385000,0,5,2,
276,F,1.84,3.64,4.26,4500,3750,5000,0,9900,11300,1380000,0,4,1,
275,L,1.90,3.37,4.40,8750,2850,2650,16600,9600,0,1375000,1,3,0,
274,F,1.84,3.63,4.28,2750,3250,4050,0,8500,7200,1370000,0,2,1,
273,L,1.82,3.46,4.08,4650,3850,4950,8450,13200,0,1365000,2,1,0,
272,X,1.82,3.38,4.16,9000,2350,1950,16350,0,8100,1360000,1,0,2,
271,F,1.88,3.32,4.03,2050,3250,3550,0,7450,4250,1355000,0,4,1,
270,L,1.82,3.38,4.39,3250,3650,4000,5900,12250,0,1350000,1,3,0,
269,F,1.90,3.35,4.24,5050,4300,5200,0,10050,11950,1345000,0,2,1,
268,L,1.82,3.71,4.25,6300,4150,6000,11450,15350,0,1340000,3,1,0,
267,X,1.84,3.50,4.53,4750,4100,4850,8700,0,21850,1335000,2,0,1,
266,L,1.82,3.50,4.62,9550,2800,2700,17350,9800,0,1330000,1,8,0,
