event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.84,3.33,4.37,163300,55150,87000,300450,0,380050,1685000,1,0,2,
336,F,1.82,3.53,4.59,132500,43700,69950,0,110500,311000,1680000,0,2,1,
335,L,1.80,3.76,4.28,125250,36200,69000,225450,136100,0,1675000,2,1,0,
334,X,1.81,3.56,4.13,78850,24400,44450,142700,0,183500,1670000,1,0,27,
333,F,1.82,3.66,4.01,66600,20200,39400,0,53650,147850,1665000,0,2,26,
332,F,1.83,3.48,4.10,56600,18900,33050,0,46750,125350,1660000,0,1,25,
331,X,1.80,3.32,4.28,35400,13350,19950,63700,0,85350,1655000,1,0,24,
330,F,1.86,3.32,4.72,27800,12500,16400,0,29000,67300,1650000,0,2,23,
329,F,1.80,3.51,4.28,28500,10700,17100,0,26850,63050,1645000,0,1,22,
328,X,1.83,3.31,4.82,17350,8800,10600,31750,0,51050,1640000,2,0,21,
327,X,1.93,3.36,4.07,11700,6450,9400,22550,0,38150,1635000,1,0,20,
326,F,1.85,3.60,4.05,12400,5950,9550,0,15350,28600,1630000,0,2,19,
325,F,1.86,3.39,4.13,12750,6500,9450,0,15500,28900,1625000,0,1,18,
324,X,1.81,3.61,4.23,8500,4850,7000,15350,0,29600,1620000,2,0,17,
323,X,1.90,3.46,4.17,5800,4400,5800,11000,0,24150,1615000,1,0,16,
322,F,1.89,3.32,4.34,7250,5150,6300,0,11850,17250,1610000,0,2,15,
321,F,1.84,3.58,4.34,8300,5000,6950,0,12800,20000,1605000,0,1,14,
320,X,1.90,3.31,4.33,6050,4750,5650,11450,0,24400,1600000,1,0,13,
319,F,1.86,3.50,4.12,7650,4800,6750,0,11900,17750,1595000,0,2,12,
318,F,1.86,3.36,4.30,8700,5450,7000,0,12800,20100,1590000,0,1,11,
317,X,1.82,3.69,4.07,6250,4050,6050,11350,0,24550,1585000,1,0,10,
316,F,1.84,3.56,4.34,7150,4650,6350,0,11900,17450,1580000,0,2,9,
315,F,1.82,3.58,4.33,8550,5000,7000,0,12800,20200,1575000,0,1,8,
314,X,1.87,3.39,4.38,6100,4650,5650,11400,0,24600,1570000,2,0,7,
313,X,1.87,3.48,4.19,9100,2900,3100,17000,0,12950,1565000,1,0,6,
312,F,1.85,3.37,4.15,3750,3750,4400,0,8800,8150,1560000,0,3,5,
311,F,1.85,3.73,4.15,4900,3750,5400,0,10150,12400,1555000,0,2,4,
310,F,1.86,3.66,4.14,6400,4250,6250,0,11300,15850,1550000,0,1,3,
309,X,1.92,3.41,4.00,4900,4100,5400,9400,0,21500,1545000,1,0,2,
308,F,1.95,3.37,4.03,6200,4650,6200,0,10950,14950,1540000,0,3,1,
307,L,1.83,3.33,4.84,6900,5150,5550,12600,17100,0,1535000,1,2,0,
306,F,1.87,3.49,4.30,8350,5200,7050,0,12850,20300,1530000,0,1,6,
305,X,1.85,3.46,4.26,6250,4500,5800,11550,0,24550,1525000,2,0,5,
304,X,1.88,3.34,4.01,9100,3000,3150,17100,0,12600,1520000,1,0,4,
303,F,1.81,3.67,4.10,9100,2350,2500,0,6200,10200,1515000,0,2,3,
302,F,1.82,3.41,4.15,2700,3350,3850,0,8050,5850,1510000,0,1,2,
301,X,1.89,3.40,4.25,2350,3350,3700,4400,0,15650,1505000,4,0,1,
300,L,1.82,3.30,4.75,3700,4050,3950,6700,13250,0,1500000,3,2,0,
