event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.90,3.36,4.32,8900,3000,2900,16900,0,12450,1685000,1,0,2,
336,F,1.80,3.37,4.31,3600,3700,4150,0,8750,7800,1680000,0,2,1,
335,L,1.83,3.48,4.48,4600,4050,4750,8400,14000,0,1675000,2,1,0,
334,X,1.85,3.56,4.01,8800,2450,2550,16250,0,10200,1670000,1,0,27,
333,F,1.82,3.49,4.28,2400,3250,3700,0,8050,5800,1665000,0,2,26,
332,F,1.86,3.56,4.09,9100,2800,3200,0,7100,13050,1660000,0,1,25,
331,X,1.84,3.37,4.45,1650,3200,3150,3000,0,13950,1655000,1,0,24,
330,F,1.89,3.48,4.12,3850,3700,4700,0,9100,9250,1650000,0,2,23,
329,F,1.81,3.58,4.58,5200,4150,5050,0,10600,13050,1645000,0,1,22,
328,X,1.83,3.44,4.45,4400,4000,4650,8050,0,20550,1640000,2,0,21,
327,X,1.86,3.45,4.16,3750,3700,4500,6950,0,18650,1635000,1,0,20,
326,F,1.83,3.78,4.15,5150,3750,5500,0,10300,12800,1630000,0,2,19,
325,F,1.81,3.69,4.06,7100,4250,6500,0,11350,16250,1625000,0,1,18,
324,X,1.85,3.50,4.39,4900,4100,5050,9050,0,22050,1620000,2,0,17,
323,X,1.90,3.47,4.05,8500,2650,2750,16150,0,11050,1615000,1,0,16,
322,F,1.91,3.46,4.12,8150,2400,2200,0,5800,8950,1610000,0,2,15,
321,F,1.83,3.45,4.37,1950,3200,3400,0,7750,4800,1605000,0,1,14,
320,X,1.85,3.67,4.19,2000,3000,3700,3700,0,15450,1600000,1,0,13,
319,F,1.83,3.81,4.14,9050,2500,3100,0,7000,12700,1595000,0,2,12,
318,F,1.82,3.51,4.05,3550,3450,4450,0,8650,7950,1590000,0,1,11,
317,X,1.85,3.37,4.34,2900,3550,3900,5350,0,16800,1585000,1,0,10,
316,F,1.88,3.49,4.04,4900,3950,5350,0,9800,11500,1580000,0,2,9,
315,F,1.82,3.61,4.09,6550,4200,6150,0,10950,15000,1575000,0,1,8,
314,X,1.84,3.32,4.70,4650,4350,4550,8550,0,21250,1570000,2,0,7,
313,X,1.87,3.42,4.42,8800,2650,2350,16450,0,10300,1565000,1,0,6,
312,F,1.81,3.59,4.29,9000,2250,2000,0,5700,8550,1560000,0,3,5,
311,F,1.85,3.70,4.09,1750,2850,3600,0,7600,4650,1555000,0,2,4,
310,F,1.83,3.40,4.49,9500,2850,2650,0,6800,11850,1550000,0,1,3,
309,X,1.81,3.38,4.42,1450,3100,3050,2600,0,13400,1545000,1,0,2,
308,F,1.83,3.48,4.54,9300,2700,2450,0,6600,11050,1540000,0,3,1,
307,L,1.82,3.44,4.73,2050,3350,3300,3700,11500,0,1535000,1,2,0,
306,F,1.83,3.82,4.12,4250,3450,5050,0,9650,10750,1530000,0,1,6,
305,X,1.82,3.32,4.14,3950,3800,4400,7150,0,18200,1525000,2,0,5,
304,X,1.82,3.57,4.15,3000,3300,4150,5450,0,17150,1520000,1,0,4,
303,F,1.83,3.50,4.24,4950,4000,5100,0,9950,11500,1515000,0,2,3,
302,F,1.82,3.41,4.56,6350,4700,5500,0,11300,15050,1510000,0,1,2,
301,X,1.81,3.38,4.45,9950,3050,2900,18000,0,12850,1505000,4,0,1,
300,L,1.87,3.32,4.34,2800,3600,3800,5200,11900,0,1500000,3,2,0,
299,L,1.81,3.38,4.58,4100,4000,4300,7400,13500,0,1495000,2,1,0,
298,X,1.81,3.69,4.17,3500,3350,4450,6300,0,18550,1490000,1,0,2,
297,F,1.81,3.87,4.04,5250,3600,5650,0,10250,12750,1485000,0,5,1,
296,L,1.83,3.51,4.06,9500,2850,3300,17350,10000,0,1480000,1,4,0,
295,F,1.82,3.48,4.26,3550,3600,4300,0,8900,8250,1475000,0,3,4,
294,F,1.82,3.31,4.26,5900,4500,5300,0,10300,12550,1470000,0,2,3,
293,F,1.81,3.47,4.29,7100,4650,6100,0,11450,16100,1465000,0,1,2,
292,X,1.85,3.70,4.14,4950,3800,5400,9150,0,22300,1460000,2,0,1,
291,L,1.86,3.57,4.05,6350,4300,6150,11800,15250,0,1455000,1,3,0,
290,F,1.86,3.46,4.34,7350,4900,6400,0,12000,17700,1450000,0,2,4,
289,F,1.86,3.31,4.63,8400,5650,6550,0,13050,20250,1445000,0,1,3,
288,X,1.81,3.47,4.68,6300,4650,5450,11400,0,25350,1440000,4,0,2,
287,X,1.89,3.34,4.20,5100,4300,5200,9600,0,21750,1435000,3,0,1,
286,L,1.85,3.39,4.53,5900,4650,5350,10900,15650,0,1430000,2,1,0,
285,X,1.81,3.46,4.29,9700,2850,2900,17550,0,12300,1425000,1,0,6,
284,F,1.86,3.31,4.10,3650,3750,4350,0,8600,7750,1420000,0,2,5,
283,F,1.80,3.66,4.06,5350,3800,5450,0,10000,12000,1415000,0,1,4,
282,X,1.82,3.34,4.14,9300,2600,2350,16900,0,9650,1410000,1,0,3,
281,F,1.83,3.66,4.13,2150,3000,3750,0,7900,5400,1405000,0,9,2,
280,F,1.84,3.31,4.60,4250,4200,4350,0,9600,9950,1400000,0,8,1,
279,L,1.82,3.32,4.47,9250,2550,2000,16800,8400,0,1395000,1,7,0,
278,F,1.82,3.31,4.83,9000,2350,1550,0,5400,7350,1390000,0,6,3,
277,F,1.81,3.55,4.05,1700,2900,3450,0,7350,3850,1385000,0,5,2,
276,F,1.90,3.41,4.18,3650,3750,4500,0,9000,8750,1380000,0,4,1,
275,L,1.96,3.40,4.01,7750,2400,2200,15150,8100,0,1375000,1,3,0,
274,F,1.87,3.41,4.36,1800,3200,3350,0,7700,4550,1370000,0,2,1,
273,L,1.82,3.40,4.60,3400,3750,4000,6150,12750,0,1365000,2,1,0,
272,X,1.83,3.36,4.63,8750,2250,1600,16000,0,7250,1360000,1,0,2,
271,F,1.87,3.31,4.30,1650,3200,3200,0,7350,3600,1355000,0,4,1,
270,L,1.81,3.56,4.58,3000,3500,3900,5400,12350,0,1350000,1,3,0,
269,F,1.83,3.52,4.09,5550,4050,5550,0,10200,12600,1345000,0,2,1,
268,L,1.82,3.48,4.31,6450,4500,5750,11700,15550,0,1340000,3,1,0,
267,X,1.81,3.53,4.06,9600,2750,3150,17350,0,12700,1335000,2,0,1,
266,L,1.85,3.33,4.52,2550,3550,3600,4700,11800,0,1330000,1,8,0,
265,F,1.82,3.53,4.06,4950,3850,5200,0,9700,11100,1325000,0,7,1,
264,L,1.83,3.31,4.91,9250,2650,1950,16900,8700,0,1320000,1,6,0,
263,F,1.81,3.31,4.39,9150,2400,1850,0,5500,8000,1315000,0,5,3,
262,F,1.81,3.85,4.10,1450,2650,3500,0,7450,4200,1310000,0,4,2,
261,F,1.87,3.61,4.03,3750,3500,4750,0,9050,9100,1305000,0,3,1,
260,L,1.85,3.53,4.14,5100,4000,5300,9400,14000,0,1300000,4,2,0,
259,L,1.85,3.51,4.39,6000,4450,5650,11100,15500,0,1295000,3,1,0,
258,X,1.85,3.43,4.10,4900,4000,5150,9050,0,21100,1290000,2,0,5,
257,X,1.83,3.63,4.29,8800,2300,2250,16100,0,9550,1285000,1,0,4,
256,F,1.80,3.50,4.66,9000,2200,1700,0,5500,7800,1280000,0,4,3,
255,F,1.82,3.37,4.01,2100,3150,3550,0,7450,4150,1275000,0,3,2,
254,F,1.81,3.54,4.31,3750,3600,4400,0,9100,8950,1270000,0,2,1,
253,L,1.86,3.51,4.32,5000,4100,5200,9300,14350,0,1265000,3,1,0,
252,X,1.86,3.61,4.22,4000,3650,4750,7400,0,19950,1260000,2,0,1,
251,L,1.84,3.38,4.01,8900,2450,2300,16350,8250,0,1255000,1,3,0,
250,F,1.93,3.34,4.19,2050,3350,3550,0,7750,4850,1250000,0,2,3,
249,F,1.86,3.34,4.59,3900,4050,4300,0,9450,9600,1245000,0,1,2,
248,X,1.83,3.31,4.40,3650,3850,4150,6650,0,18100,1240000,3,0,1,
