event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.84,3.61,4.35,419200,127450,229650,771300,0,998950,1685000,1,0,2,
336,F,1.90,3.35,4.20,346150,117450,199050,0,275900,826000,1680000,0,2,1,
335,L,1.81,3.55,4.16,322050,92950,172900,582900,329950,0,1675000,2,1,0,
334,X,1.87,3.39,4.42,181750,62750,100350,339850,0,443450,1670000,1,0,27,
333,F,1.80,3.45,4.80,157150,52900,77800,0,129600,363400,1665000,0,2,26,
332,F,1.81,3.34,4.74,137250,47950,68200,0,112100,313100,1660000,0,1,25,
331,X,1.81,3.30,4.35,89800,30650,47050,162500,0,204500,1655000,1,0,24,
330,F,1.86,3.65,4.09,71200,22800,43400,0,60350,167500,1650000,0,2,23,
329,F,1.82,3.63,4.13,63150,19900,36850,0,52300,142150,1645000,0,1,22,
328,X,1.83,3.49,4.24,38450,13950,22950,70350,0,97250,1640000,2,0,21,
327,X,1.80,3.31,4.61,24650,10650,14050,44350,0,64650,1635000,1,0,20,
326,F,1.83,3.33,4.11,24200,9900,15150,0,23000,52150,1630000,0,2,19,
325,F,1.85,3.55,4.17,20650,8600,13950,0,21850,48150,1625000,0,1,18,
324,X,1.91,3.32,4.21,13050,7050,9800,24900,0,41150,1620000,2,0,17,
323,X,1.82,3.38,4.47,9150,5550,6950,16650,0,31050,1615000,1,0,16,
322,F,1.80,3.61,4.51,9750,5400,7400,0,14000,23300,1610000,0,2,15,
321,F,1.85,3.64,4.05,10900,5450,8800,0,14350,25550,1605000,0,1,14,
320,X,1.84,3.42,4.50,7350,5000,6150,13500,0,27600,1600000,1,0,13,
319,F,1.83,3.32,4.13,9650,5550,7450,0,12850,20650,1595000,0,2,12,
318,F,1.90,3.32,4.33,9350,5900,7500,0,13600,22450,1590000,0,1,11,
317,X,1.88,3.35,4.03,6950,4750,6350,13050,0,25500,1585000,1,0,10,
316,F,1.82,3.44,4.71,7350,5050,5950,0,12300,17950,1580000,0,2,9,
315,F,1.90,3.31,4.28,8900,5700,7300,0,13100,21200,1575000,0,1,8,
314,X,1.91,3.43,4.07,6300,4550,6150,12000,0,25000,1570000,2,0,7,
313,X,1.83,3.33,4.36,9650,3000,2800,17650,0,12200,1565000,1,0,6,
312,F,1.86,3.55,4.04,3300,3400,4400,0,8600,7750,1560000,0,3,5,
311,F,1.81,3.33,4.60,5150,4400,4750,0,10200,11750,1555000,0,2,4,
310,F,1.88,3.44,4.30,6500,4700,6000,0,11400,15800,1550000,0,1,3,
309,X,1.90,3.39,4.28,4900,4250,5150,9300,0,21900,1545000,1,0,2,
308,F,1.82,3.61,4.07,6900,4300,6350,0,11150,15700,1540000,0,3,1,
307,L,1.97,3.37,4.08,7000,5000,6750,13750,16750,0,1535000,1,2,0,
306,F,1.80,3.60,4.38,8400,4900,6800,0,12700,19700,1530000,0,1,6,
305,X,1.84,3.78,4.05,6000,3900,6100,11000,0,24600,1525000,2,0,5,
304,X,1.80,3.49,4.53,9700,2750,2650,17450,0,11850,1520000,1,0,4,
303,F,1.81,3.31,4.60,3250,3800,3800,0,8700,7300,1515000,0,2,3,
302,F,1.81,3.61,4.50,4800,3950,4900,0,10200,12000,1510000,0,1,2,
301,X,1.84,3.43,4.58,9150,2650,2300,16800,0,10500,1505000,4,0,1,
300,L,1.82,3.67,4.01,2150,2950,3800,3900,10700,0,1500000,3,2,0,
299,L,1.83,3.33,4.54,3450,3850,4000,6300,12750,0,1495000,2,1,0,
298,X,1.84,3.35,4.07,3300,3600,4150,6050,0,16850,1490000,1,0,2,
297,F,1.81,3.31,4.33,5200,4300,4900,0,9850,11200,1485000,0,5,1,
296,L,1.83,3.31,4.86,9350,2750,2100,17100,9050,0,1480000,1,4,0,
295,F,1.80,3.62,4.01,9000,2200,2150,0,5650,8600,1475000,0,3,4,
294,F,1.89,3.66,4.02,1700,2850,3650,0,7550,4550,1470000,0,2,3,
293,F,1.88,3.58,4.07,3800,3550,4750,0,9150,9300,1465000,0,1,2,
292,X,1.84,3.33,4.34,3350,3750,4050,6150,0,17550,1460000,2,0,1,
291,L,1.88,3.63,4.05,8000,2000,1800,15000,7200,0,1455000,1,3,0,
290,F,1.89,3.36,4.32,1350,3100,3100,0,7250,3300,1450000,0,2,4,
289,F,1.84,3.45,4.55,3300,3700,4050,0,9050,8400,1445000,0,1,3,
288,X,1.83,3.82,4.08,3050,3100,4400,5550,0,17850,1440000,4,0,2,
287,X,1.93,3.31,4.18,2800,3600,4000,5400,0,16700,1435000,3,0,1,
286,L,1.86,3.32,4.74,3900,4150,4200,7250,13750,0,1430000,2,1,0,
