event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.83,3.59,4.08,82500241194950,23116947381750,45358252815050,150975441386750,0,185061671485350,1685000,1,0,2,
336,F,1.91,3.30,4.04,64300336470550,21159450931900,37353855261300,0,48666737143350,150909575245650,1680000,0,2,1,
335,L,1.84,3.44,4.05,56960132418950,16690643455500,31155867781400,104806643650850,57415813486850,0,1675000,2,1,0,
334,X,1.81,3.37,4.51,33562621164700,10555518612600,16630204535800,60748344308100,0,75002222456400,1670000,1,0,27,
333,F,1.82,3.31,4.89,26701605809950,9178101534350,12717215234800,0,21201414544300,62187182488050,1665000,0,2,26,
332,F,1.81,3.53,4.57,22952724369600,7006234315700,11585472428650,0,17725772818700,52945608988850,1660000,0,1,25,
331,X,1.83,3.47,4.29,14422685330350,4350223879400,7620604949750,26393514154500,0,32692395234400,1655000,1,0,24,
330,F,1.85,3.49,4.26,11627929485150,3552479892650,6331260174700,0,8845674932600,26971168334100,1650000,0,2,23,
329,F,1.81,3.76,4.16,9840582411700,2623745287850,5347126470600,0,7241536994450,22244046107550,1645000,0,1,22,
328,X,1.85,3.43,4.01,5921338709600,1745362339900,3287775568250,10954476612750,0,13183980028650,1640000,2,0,21,
327,X,1.91,3.33,4.36,3240951997100,1126510214100,1822756108250,6190218314450,0,7947216631900,1635000,1,0,20,
326,F,1.81,3.81,4.04,2959024243150,759253350300,1637556291650,0,2133501914250,6615727408150,1630000,0,2,19,
325,F,1.86,3.34,4.36,2303144989900,754554170800,1226150525500,0,1765656759600,5346016281150,1625000,0,1,18,
324,X,1.83,3.56,4.17,1438604108350,413974986350,780066428550,2632645518250,0,3252877007000,1620000,2,0,17,
323,X,1.86,3.71,4.04,839819482100,234491713350,487753046250,1562064236700,0,1970522306800,1615000,1,0,16,
322,F,1.83,3.34,4.45,702477543700,225762566800,357293799450,0,528284406300,1589957397400,1610000,0,2,15,
321,F,1.82,3.39,4.44,587085979050,183665673250,297744834550,0,438960958950,1321987055300,1605000,0,1,14,
320,X,1.81,3.42,4.27,365773864350,108653299900,187623535200,662050694450,0,801152495250,1600000,1,0,13,
319,F,1.83,3.34,4.23,299358474300,92353297650,156114241000,0,216106716450,660363229350,1595000,0,2,12,
318,F,1.81,3.76,4.06,244236133350,63722494950,134108778050,0,175874086050,544481628750,1590000,0,1,11,
317,X,1.81,3.66,4.26,143958602550,40155328400,76451144650,260565070600,0,325681876150,1585000,1,0,10,
316,F,1.92,3.32,4.37,107997560700,38121707100,61236053700,0,88442360400,267601544600,1580000,0,2,9,
315,F,1.91,3.32,4.14,93311485250,31172438850,53741017700,0,72320058100,222487803200,1575000,0,1,8,
314,X,1.82,3.42,4.47,58936662300,18394706000,29933362050,107264725350,0,133802128250,1570000,2,0,7,
313,X,1.88,3.59,4.05,34925400600,10308628700,20425728800,65659753100,0,82724201500,1565000,1,0,6,
312,F,1.87,3.52,4.19,28394778700,8688429100,16015033350,0,21894841300,67102979700,1560000,0,3,5,
311,F,1.82,3.78,4.21,23819288200,6465846000,13065975300,0,17975051750,55007745900,1555000,0,2,4,
310,F,1.81,3.51,4.26,20354114000,5895476750,10591360550,0,14797646550,45119185800,1550000,0,1,3,
309,X,1.85,3.36,4.68,11648501900,3966241550,5934990050,21549728500,0,27775753300,1545000,1,0,2,
308,F,1.84,3.52,4.10,10449701650,3030183200,5747571150,0,7636061650,23565031600,1540000,0,3,1,
307,L,1.83,3.63,4.01,9021305450,2464061500,5023627000,16508988950,8944543150,0,1535000,1,2,0,
306,F,1.86,3.33,4.44,6934293550,2311052000,3652445450,0,5384751050,16216847750,1530000,0,1,6,
305,X,1.82,3.71,4.27,4348245550,1215365750,2350200600,7913806900,0,10035356450,1525000,2,0,5,
304,X,1.90,3.30,4.35,2547056400,881001750,1411354000,4839407150,0,6139389800,1520000,1,0,4,
303,F,1.94,3.44,4.05,2059832300,675435900,1260811450,0,1648063500,5106276250,1515000,0,2,3,
302,F,1.91,3.32,4.37,1684645400,588196450,944835850,0,1364615750,4128922550,1510000,0,1,2,
301,X,1.87,3.60,4.15,1071157000,318502150,613409400,2003063550,0,2545648900,1505000,4,0,1,
300,L,1.89,3.53,4.11,928148050,285027000,541029750,1754199800,1006145250,0,1500000,3,2,0,
299,L,1.84,3.30,4.72,808015900,277870150,400868200,1486749250,916971450,0,1495000,2,1,0,
298,X,1.81,3.44,4.52,523109200,161886400,261837050,946827650,0,1183503300,1490000,1,0,2,
297,F,1.90,3.33,4.39,406509600,140515600,225348000,0,327401300,989267650,1485000,0,5,1,
296,L,1.80,3.49,4.60,380498100,116456850,187946600,684896550,406434400,0,1480000,1,4,0,
295,F,1.83,3.47,4.32,319596900,96958300,168312100,0,239486950,727098200,1475000,0,3,4,
294,F,1.90,3.35,4.13,254646150,83284900,145901600,0,195719450,602563600,1470000,0,2,3,
