event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.85,3.48,4.31,62250,21800,36100,115150,0,155450,1685000,1,0,2,
336,F,1.83,3.49,4.01,57750,18800,34100,0,46800,126600,1680000,0,2,1,
335,L,1.85,3.41,4.46,47500,18050,27300,87850,61450,0,1675000,2,1,0,
334,X,1.84,3.37,4.04,31800,12050,19650,58500,0,79350,1670000,1,0,27,
333,F,1.88,3.34,4.36,25950,11350,16450,0,26550,61650,1665000,0,2,26,
332,F,1.87,3.34,4.49,23700,10750,14850,0,25100,56650,1660000,0,1,25,
331,X,1.89,3.44,4.13,15700,7500,11450,29650,0,47250,1655000,1,0,24,
330,F,1.87,3.49,4.31,14900,7250,10700,0,18000,36000,1650000,0,2,23,
329,F,1.82,3.46,4.66,14800,7400,9700,0,18100,35200,1645000,0,1,22,
328,X,1.80,3.41,4.85,10450,6150,7200,18800,0,34800,1640000,2,0,21,
327,X,1.80,3.74,4.04,7950,4400,6950,14300,0,28050,1635000,1,0,20,
326,F,1.83,3.53,4.17,8900,5050,7300,0,12750,20300,1630000,0,2,19,
325,F,1.83,3.37,4.08,10400,5650,7950,0,13350,22400,1625000,0,1,18,
324,X,1.87,3.51,4.04,6650,4450,6300,12400,0,25400,1620000,2,0,17,
323,X,1.84,3.47,4.22,9450,2900,3050,17350,0,12800,1615000,1,0,16,
322,F,1.90,3.33,4.41,3250,3800,4100,0,8850,8000,1610000,0,2,15,
321,F,1.83,3.39,4.38,5450,4350,5150,0,10300,12450,1605000,0,1,14,
320,X,1.86,3.47,4.04,8900,2650,2750,16550,0,11050,1600000,1,0,13,
319,F,1.82,3.69,4.10,8800,2200,2200,0,5800,8950,1595000,0,2,12,
318,F,1.82,3.35,4.29,2150,3300,3450,0,7750,4800,1590000,0,1,11,
317,X,1.84,3.33,4.09,2350,3300,3650,4300,0,14800,1585000,1,0,10,
316,F,1.82,3.38,4.10,4550,3900,4800,0,9200,9600,1580000,0,2,9,
315,F,1.83,3.48,4.41,5550,4300,5300,0,10650,13350,1575000,0,1,8,
314,X,1.81,3.56,4.32,4450,3800,4800,8050,0,20650,1570000,2,0,7,
313,X,1.87,3.50,4.27,8550,2400,2250,15950,0,9550,1565000,1,0,6,
312,F,1.94,3.32,4.14,7850,2350,1900,0,5450,7850,1560000,0,3,5,
311,F,1.87,3.60,4.18,1450,2900,3350,0,7450,3950,1555000,0,2,4,
310,F,1.95,3.35,4.07,3800,3900,4700,0,9050,9000,1550000,0,1,3,
