event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.87,3.53,4.30,2000,3150,3550,3700,0,15150,1685000,1,0,2,
336,F,1.85,3.31,4.64,4100,4150,4300,0,9550,9900,1680000,0,2,1,
335,L,1.80,3.60,4.58,5600,4200,5250,10050,15100,0,1675000,2,1,0,
334,X,1.91,3.34,4.23,4600,4200,4950,8750,0,20900,1670000,1,0,27,
333,F,1.92,3.42,4.01,6200,4500,6200,0,10850,14850,1665000,0,2,26,
332,F,1.85,3.60,4.20,7300,4600,6600,0,11900,17600,1660000,0,1,25,
331,X,1.85,3.36,4.14,5650,4350,5450,10450,0,22450,1655000,1,0,24,
330,F,1.84,3.33,4.42,6850,4900,5850,0,11400,15750,1650000,0,2,23,
329,F,1.90,3.44,4.05,8100,5050,7200,0,12250,19050,1645000,0,1,22,
328,X,1.96,3.43,4.02,5450,4350,5850,10650,0,23450,1640000,2,0,21,
327,X,1.83,3.34,4.83,9400,2800,2250,17200,0,10850,1635000,1,0,20,
326,F,1.82,3.77,4.17,2600,3050,4050,0,8350,6800,1630000,0,2,19,
325,F,1.87,3.42,4.16,4850,4050,5150,0,9800,11300,1625000,0,1,18,
324,X,1.86,3.45,4.10,3850,3700,4600,7150,0,18800,1620000,2,0,17,
323,X,1.86,3.38,4.08,8450,2250,1850,15700,0,7500,1615000,1,0,16,
322,F,1.84,3.52,4.27,1400,2950,3200,0,7350,3600,1610000,0,2,15,
321,F,1.85,3.49,4.23,3650,3650,4450,0,9000,8750,1605000,0,1,14,
320,X,1.91,3.38,4.21,8050,2300,1900,15350,0,7950,1600000,1,0,13,
319,F,1.90,3.47,4.20,1600,3050,3350,0,7450,4050,1595000,0,2,12,
318,F,1.85,3.51,4.13,3900,3650,4650,0,9050,9100,1590000,0,1,11,
317,X,1.86,3.68,4.02,8300,2100,2050,15400,0,8100,1585000,1,0,10,
316,F,1.95,3.36,4.01,1800,3150,3550,0,7400,4150,1580000,0,2,9,
315,F,1.83,3.32,4.88,3450,4000,3850,0,9250,8750,1575000,0,1,8,
314,X,1.85,3.59,4.25,3250,3450,4300,6000,0,18150,1570000,2,0,7,
313,X,1.88,3.51,4.25,8150,2150,1750,15300,0,7400,1565000,1,0,6,
312,F,1.86,3.37,4.36,1550,3150,3150,0,7350,3600,1560000,0,3,5,
311,F,1.87,3.35,4.54,9050,2850,2500,0,6600,11200,1555000,0,2,4,
310,F,1.83,3.37,4.69,2750,3650,3600,0,8550,6750,1550000,0,1,3,
309,X,1.92,3.42,4.16,2700,3450,4000,5150,0,16550,1545000,1,0,2,
308,F,1.84,3.32,4.85,4300,4300,4300,0,9950,10850,1540000,0,3,1,
307,L,1.83,3.39,4.63,5950,4650,5250,10850,15650,0,1535000,1,2,0,
306,F,1.86,3.31,4.45,7650,5300,6250,0,12150,17800,1530000,0,1,6,
305,X,1.91,3.55,4.05,5400,4100,5800,10300,0,23400,1525000,2,0,5,
304,X,1.82,3.44,4.33,9400,2700,2550,17100,0,10900,1520000,1,0,4,
303,F,1.86,3.31,4.05,3150,3600,4100,0,8250,6600,1515000,0,2,3,
302,F,1.80,3.79,4.13,4500,3500,5100,0,9700,11050,1510000,0,1,2,
301,X,1.84,3.58,4.26,8750,2350,2250,16100,0,9550,1505000,4,0,1,
300,L,1.90,3.52,4.06,1600,2950,3450,3000,10350,0,1500000,3,2,0,
299,L,1.92,3.30,4.25,3000,3700,4050,5750,12200,0,1495000,2,1,0,
298,X,1.83,3.48,4.50,2700,3450,3750,4900,0,16750,1490000,1,0,2,
297,F,1.82,3.59,4.39,4650,3900,4900,0,10000,11450,1485000,0,5,1,
296,L,1.82,3.41,4.18,9500,2750,2750,17250,9300,0,1480000,1,4,0,
295,F,1.94,3.38,4.11,2850,3550,4100,0,8350,6800,1475000,0,3,4,
294,F,1.82,3.33,4.31,5150,4250,4950,0,9850,11200,1470000,0,2,3,
293,F,1.84,3.55,4.32,6200,4400,5800,0,11100,15000,1465000,0,1,2,
292,X,1.84,3.30,4.52,4900,4350,4750,9000,0,21300,1460000,2,0,1,
291,L,1.90,3.32,4.37,8850,2950,2750,16800,9750,0,1455000,1,3,0,
290,F,1.93,3.39,4.07,3150,3600,4300,0,8500,7450,1450000,0,2,4,
289,F,1.81,3.46,4.14,5350,4050,5250,0,9950,11700,1445000,0,1,3,
288,X,1.81,3.31,4.18,4200,3900,4500,7600,0,18800,1440000,4,0,2,
287,X,1.82,3.69,4.08,3150,3200,4350,5700,0,17600,1435000,3,0,1,
286,L,1.82,3.52,4.31,4550,3850,4850,8250,13550,0,1430000,2,1,0,
285,X,1.81,3.59,4.28,9050,2300,2200,16350,0,9300,1425000,1,0,6,
284,F,1.84,3.52,4.26,2100,3150,3600,0,7850,5200,1420000,0,2,5,
283,F,1.85,3.31,4.50,4250,4150,4450,0,9500,9950,1415000,0,1,4,
282,X,1.80,3.61,4.25,9100,2250,2050,16350,0,8650,1410000,1,0,3,
281,F,1.86,3.33,4.59,1850,3350,3200,0,7750,4600,1405000,0,9,2,
280,F,1.93,3.37,4.20,4000,3950,4750,0,9350,9800,1400000,0,8,1,
279,L,1.84,3.70,4.14,8700,2300,2400,16000,8400,0,1395000,1,7,0,
278,F,1.91,3.32,4.12,8150,2400,2000,0,5500,8100,1390000,0,6,3,
277,F,1.82,3.30,5.00,1450,3350,2800,0,7650,3950,1385000,0,5,2,
276,F,1.86,3.55,4.09,9000,2700,2950,0,6800,12000,1380000,0,4,1,
275,L,1.86,3.48,4.17,2450,3250,3850,4550,11300,0,1375000,1,3,0,
274,F,1.84,3.65,4.16,9200,2700,3150,0,7100,13000,1370000,0,2,1,
273,L,1.82,3.58,4.22,2900,3300,4050,5250,11700,0,1365000,2,1,0,
272,X,1.80,3.31,4.61,2750,3650,3550,4950,0,16350,1360000,1,0,2,
271,F,1.95,3.38,4.09,4650,4150,5250,0,9800,11350,1355000,0,4,1,
270,L,1.91,3.31,4.45,8650,2850,2500,16500,9400,0,1350000,1,3,0,
269,F,1.89,3.33,4.10,3050,3600,4100,0,8300,6750,1345000,0,2,1,
268,L,1.86,3.41,4.45,4050,3950,4500,7500,13450,0,1340000,3,1,0,
267,X,1.84,3.81,4.05,8500,2100,2350,15600,0,9400,1335000,2,0,1,
266,L,1.83,3.86,4.02,1550,2650,3600,2800,10150,0,1330000,1,8,0,
265,F,1.82,3.34,4.63,3850,4000,4150,0,9250,9050,1325000,0,7,1,
264,L,1.94,3.48,4.06,8000,2500,2500,15500,8650,0,1320000,1,6,0,
263,F,1.95,3.40,4.03,7750,2350,2050,0,5550,8200,1315000,0,5,3,
262,F,1.83,3.37,4.64,1600,3250,3050,0,7600,4100,1310000,0,4,2,
261,F,1.89,3.40,4.11,4050,3850,4750,0,9200,9450,1305000,0,3,1,
260,L,1.83,3.62,4.35,5200,4000,5300,9500,14400,0,1300000,4,2,0,
259,L,1.93,3.52,4.00,6400,4450,6500,12350,15650,0,1295000,3,1,0,
258,X,1.89,3.35,4.07,4950,4150,5250,9350,0,21300,1290000,2,0,5,
257,X,1.86,3.60,4.10,8550,2350,2450,15900,0,9900,1285000,1,0,4,
256,F,1.97,3.31,4.03,2450,3450,3900,0,7900,5650,1280000,0,4,3,
255,F,1.83,3.83,4.01,9050,2500,3200,0,6950,12700,1275000,0,3,2,
254,F,1.84,3.80,4.08,3000,3100,4400,0,8650,7800,1270000,0,2,1,
253,L,1.85,3.54,4.33,4500,3900,4900,8300,13750,0,1265000,3,1,0,
252,X,1.81,3.31,4.84,9400,2600,1900,17000,0,9150,1260000,2,0,1,
251,L,1.80,3.48,4.27,1600,3000,3250,2850,10400,0,1255000,1,3,0,
250,F,1.86,3.34,4.36,3800,3900,4350,0,9100,8850,1250000,0,2,3,
