event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.92,3.44,4.07,1950,3150,3600,3700,0,14650,1685000,1,0,2,
336,F,1.84,3.32,4.11,9500,2950,2900,0,6750,11900,1680000,0,2,1,
335,L,1.82,3.41,4.38,2400,3350,3600,4350,11400,0,1675000,2,1,0,
334,X,1.84,3.39,4.23,2450,3350,3700,4500,0,15550,1670000,1,0,27,
333,F,1.80,3.52,4.29,4450,3800,4750,0,9550,10300,1665000,0,2,26,
332,F,1.85,3.58,4.14,6000,4200,5900,0,10800,14300,1660000,0,1,25,
331,X,1.88,3.33,4.11,9050,2950,3000,17000,0,12200,1655000,1,0,24,
330,F,1.83,3.60,4.35,8950,2400,2300,0,6150,9850,1650000,0,2,23,
329,F,1.84,3.64,4.27,2100,3050,3700,0,8000,5700,1645000,0,1,22,
328,X,1.82,3.60,4.39,2200,3150,3650,4000,0,16000,1640000,2,0,21,
327,X,1.84,3.51,4.24,2450,3250,3800,4500,0,16000,1635000,1,0,20,
326,F,1.91,3.31,4.41,4300,4200,4700,0,9700,10650,1630000,0,2,19,
325,F,1.80,3.80,4.04,6350,3900,6150,0,10850,14800,1625000,0,1,18,
324,X,1.82,3.46,4.20,9550,2800,2900,17350,0,12150,1620000,2,0,17,
323,X,1.89,3.61,4.00,1350,2800,3400,2550,0,13550,1615000,1,0,16,
322,F,1.84,3.34,4.04,4050,3800,4600,0,8850,8550,1610000,0,2,15,
321,F,1.85,3.52,4.04,5500,4050,5600,0,10200,12600,1605000,0,1,14,
320,X,1.85,3.62,4.31,3900,3650,4650,7200,0,20000,1600000,1,0,13,
319,F,1.82,3.33,4.47,6250,4700,5400,0,10850,14000,1595000,0,2,12,
318,F,1.82,3.76,4.01,7600,4300,6900,0,11800,17650,1590000,0,1,11,
317,X,1.85,3.68,4.05,5300,3850,5650,9800,0,22750,1585000,1,0,10,
316,F,1.81,3.39,4.48,6950,4800,5800,0,11450,15850,1580000,0,2,9,
315,F,1.92,3.41,4.02,8100,5150,7300,0,12300,19200,1575000,0,1,8,
314,X,1.84,3.40,4.23,5900,4400,5550,10850,0,23350,1570000,2,0,7,
313,X,1.88,3.36,4.47,8950,2850,2600,16800,0,11550,1565000,1,0,6,
312,F,1.86,3.35,4.17,8850,2600,2350,0,6000,9650,1560000,0,3,5,
311,F,1.87,3.52,4.14,2200,3150,3750,0,7900,5400,1555000,0,2,4,
310,F,1.93,3.31,4.30,4150,4150,4700,0,9500,10050,1550000,0,1,3,
309,X,1.98,3.32,4.11,3350,3800,4450,6600,0,18250,1545000,1,0,2,
308,F,1.81,3.47,4.32,5400,4150,5200,0,10250,12350,1540000,0,3,1,
307,L,1.83,3.88,4.00,6650,3950,6550,12150,15250,0,1535000,1,2,0,
306,F,1.82,3.70,4.03,8150,4500,7150,0,12150,18700,1530000,0,1,6,
305,X,1.93,3.32,4.23,5450,4550,5500,10500,0,23200,1525000,2,0,5,
304,X,1.81,3.38,4.37,4450,4000,4600,8050,0,20100,1520000,1,0,4,
303,F,1.90,3.55,4.06,5800,4200,6000,0,10700,14300,1515000,0,2,3,
302,F,1.86,3.33,4.30,7500,5100,6350,0,11800,17200,1510000,0,1,2,
301,X,1.83,3.55,4.13,5500,4050,5500,10050,0,22600,1505000,4,0,1,
300,L,1.81,3.54,4.28,9650,2800,3000,17450,9900,0,1500000,3,2,0,
299,L,1.93,3.32,4.33,2600,3600,3800,5000,11900,0,1495000,2,1,0,
298,X,1.83,3.38,4.12,2750,3400,3850,5000,0,15850,1490000,1,0,2,
297,F,1.81,3.41,4.76,4150,4050,4300,0,9750,10300,1485000,0,5,1,
296,L,1.82,3.45,4.08,9300,2600,2600,16900,8850,0,1480000,1,4,0,
295,F,1.83,3.75,4.20,2200,2950,3850,0,8100,6050,1475000,0,3,4,
294,F,1.81,3.37,4.63,4450,4150,4450,0,9800,10500,1470000,0,2,3,
293,F,1.84,3.38,4.25,6550,4650,5850,0,11000,14850,1465000,0,1,2,
292,X,1.85,3.41,4.60,4600,4200,4700,8500,0,21500,1460000,2,0,1,
291,L,1.85,3.54,4.27,9200,2800,3050,17000,9900,0,1455000,1,3,0,
290,F,1.81,3.50,4.53,9400,2600,2350,0,6400,10600,1450000,0,2,4,
289,F,1.86,3.35,4.29,2800,3550,3850,0,8250,6400,1445000,0,1,3,
288,X,1.81,3.31,4.45,2700,3550,3600,4850,0,15950,1440000,4,0,2,
287,X,1.82,3.85,4.16,2300,2900,3950,4150,0,16400,1435000,3,0,1,
286,L,1.86,3.51,4.38,4000,3800,4600,7400,13300,0,1430000,2,1,0,
285,X,1.93,3.48,4.01,8000,2400,2400,15400,0,9550,1425000,1,0,6,
284,F,1.84,3.53,4.07,2300,3150,3750,0,7850,5250,1420000,0,2,5,
283,F,1.82,3.34,4.57,4250,4100,4350,0,9500,9850,1415000,0,1,4,
282,X,1.84,3.36,4.78,8950,2500,1800,16450,0,8550,1410000,1,0,3,
281,F,1.89,3.33,4.07,2250,3350,3650,0,7700,4850,1405000,0,9,2,
280,F,1.86,3.45,4.45,3800,3850,4400,0,9350,9550,1400000,0,8,1,
279,L,1.92,3.42,4.05,8250,2550,2500,15800,8700,0,1395000,1,7,0,
278,F,1.82,3.58,4.32,8800,2200,1900,0,5550,8150,1390000,0,6,3,
277,F,1.88,3.41,4.33,1650,3150,3300,0,7550,4250,1385000,0,5,2,
276,F,1.81,3.39,4.33,4150,3900,4450,0,9250,9250,1380000,0,4,1,
275,L,1.83,3.34,4.11,8900,2350,1950,16250,7800,0,1375000,1,3,0,
274,F,1.86,3.39,4.15,1850,3150,3400,0,7450,4050,1370000,0,2,1,
273,L,1.87,3.32,4.60,3000,3800,3800,5600,12500,0,1365000,2,1,0,
272,X,1.83,3.51,4.56,2750,3450,3800,5000,0,17200,1360000,1,0,2,
271,F,1.82,3.47,4.26,5200,4100,5150,0,10100,11900,1355000,0,4,1,
270,L,1.85,3.56,4.13,9200,2800,3100,17000,9850,0,1350000,1,3,0,
269,F,1.83,3.39,4.24,3600,3700,4250,0,8750,8000,1345000,0,2,1,
268,L,1.93,3.35,4.19,4500,4150,5000,8650,13850,0,1340000,3,1,0,
267,X,1.87,3.33,4.01,8700,2550,2350,16250,0,9350,1335000,2,0,1,
266,L,1.91,3.51,4.00,1450,2900,3400,2750,10150,0,1330000,1,8,0,
265,F,1.84,3.34,4.48,3600,3850,4150,0,9000,8450,1325000,0,7,1,
264,L,1.84,3.68,4.05,8500,2100,2100,15600,7700,0,1320000,1,6,0,
263,F,1.85,3.46,4.17,1850,3100,3450,0,7550,4350,1315000,0,5,3,
262,F,1.81,3.38,4.82,9800,2900,2450,0,6800,11650,1310000,0,4,2,
261,F,1.82,3.55,4.51,2750,3400,3850,0,8650,7350,1305000,0,3,1,
260,L,1.90,3.34,4.32,4400,4150,4800,8350,13800,0,1300000,4,2,0,
259,L,1.86,3.44,4.23,5700,4350,5550,10600,14850,0,1295000,3,1,0,
258,X,1.82,3.49,4.39,4350,3900,4650,7900,0,20400,1290000,2,0,5,
257,X,1.90,3.55,4.03,8250,2400,2450,15650,0,9750,1285000,1,0,4,
256,F,1.82,3.46,4.04,8850,2250,1950,0,5450,7850,1280000,0,4,3,
255,F,1.80,3.54,4.19,1650,2950,3350,0,7400,3950,1275000,0,3,2,
254,F,1.84,3.56,4.45,3400,3600,4250,0,9150,8850,1270000,0,2,1,
253,L,1.87,3.42,4.15,5150,4150,5300,9600,14150,0,1265000,3,1,0,
252,X,1.86,3.41,4.03,4100,3750,4750,7600,0,19000,1260000,2,0,1,
251,L,1.91,3.32,4.36,8100,2350,1800,15450,7800,0,1255000,1,3,0,
250,F,1.82,3.68,4.15,1500,2800,3400,0,7450,4000,1250000,0,2,3,
249,F,1.93,3.37,4.20,3700,3850,4550,0,9050,9000,1245000,0,1,2,
248,X,1.84,3.73,4.05,3100,3200,4400,5700,0,17800,1240000,3,0,1,
247,L,1.82,3.55,4.50,4500,3950,4700,8150,13900,0,1235000,2,4,0,
246,L,1.88,3.38,4.48,8950,2850,2550,16800,9550,0,1230000,1,3,0,
245,F,1.82,3.32,4.79,2850,3750,3550,0,8600,6950,1225000,0,2,6,
244,F,1.84,3.59,4.28,4850,3900,5150,0,10100,11900,1220000,0,1,5,
243,X,1.85,3.65,4.15,3900,3550,4750,7200,0,19650,1215000,2,0,4,
242,X,1.89,3.58,4.01,3300,3400,4500,6200,0,18000,1210000,1,0,3,
